연번,구분,시도,시군구,부서,주소,대표전화,보관장소,빈탱크로리,굴착기,암롤차,스키드로더,진공흡입차량,지게차,방독면,보호복,장갑,장화,소석회,마른모래,중탄산나트륨,흡착포,유처리제
160,기초,경기도,구리시,자원순환과,경기 구리시 검배로 199,031-550-5460,재활용품중간처리장,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
161,기초,경기도,구리시,자원순환과,경기 구리시 왕숙천로 49,031-550-2252,재활용품선별장,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
162,기초,경기도,구리시,자원순환과,경기 구리시 검배로 199,031-550-2251,재활용품중간처리장,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
163,기초,경기도,구리시,자원순환과,경기 구리시 왕숙천로 49,031-550-2477,구리자원회수시설,-,-,-,-,-,-,4,4,4,4,-,-,-,-,-
164,기초,경기도,구리시,하수과,경기 구리시 검배로 200,031-550-8437,구리시청 하수과,-,-,-,-,-,-,7,4,8,3,-,300,-,1박스,-
165,기초,경기도,군포시,환경과,경기 군포시 청백리길 6,031-390-0732,군포시청,-,-,-,-,-,-,-,41,51,12,-,-,-,15,60
166,기초,경기도,김포시,환경지도과,경기 김포시 사우중로26,031-980-5655,환경지도과 등,-,-,-,-,-,-,40,90,30,3,4,-,-,12박스,1206
167,기초,경기도,김포시,클린도시과,경기 김포시 초당로40,031-5186-4523,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168,기초,경기도,동두천시,자원위생과,경기 동두천시 방죽로 23,031-860-2251,적환장,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-
169,기초,경기도,부천시,환경정책과,경기 부천시 원미구 길주로 210,032-625-3161,부천시청,-,-,-,-,-,-,10,10,20,10,-,-,-,8박스,-
170,기초,경기도,성남시,환경정책과,경기 성남시 중원구 성남대로 997,031-729-3172,성남시청 등,-,-,-,-,-,-,18,15,94,10,-,-,-,23개(롤),-
171,기초,경기도,수원시,환경정책과,경기 수원시 효원로 241,031-5191-3243,수원시청,-,-,-,-,-,-,10,20,60,11,360,-,-,36,-
172,기초,경기도,시흥시,환경정책과,경기 시흥시 시청로 20,031-310-5993,시흥시청,-,-,-,-,-,-,88,83,83,112,-,-,-,132박스,540
173,기초,경기도,안산시,환경정책과,"경기 안산시 단원구 중앙대로 839(고잔동, 3층 환경정책과)",031-481-2243,안산시청 등,-,1,8,-,-,-,6,6,15,6,180,50,-,33박스,216
174,기초,경기도,안양시,환경정책과,경기 안양시 동안구 시민대로 235,031-8045-5822,안양시청,-,-,-,-,-,-,5,5,8,16,-,-,-,14박스,15포
175,기초,경기도,양주시,환경정책과,경기 양주시 부흥로 1533,031-8082-6313,양주시청 등,-,3,5,1,-,-,5,5,300,-,-,-,-,14박스,72L
176,기초,경기도,양평군,기후환경과,경기 양평군 양평읍 군청앞긾 2,031-770-2581,양평군청 창대리 창고,-,-,-,-,-,-,5482,-,-,-,-,-,-,230/145,414
177,기초,경기도,여주시,도로과,경기 여주시 세종로 1,031-887-2226,여주종합운동장,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
178,기초,경기도,여주시,도로과,경기 여주시 세종로 1,-,수로원사무실,-,-,-,1,-,-,-,-,-,-,-,80,-,-,-
179,기초,경기도,여주시,도로과,경기 여주시 세종로 1,031-887-2225,여주종합운동장,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
180,기초,경기도,여주시,자원순환과,경기 여주시 세종로 1,031-887-2783,폐기물매립장,-,1,1,2,-,4,-,-,-,-,-,-,-,-,-
181,기초,경기도,여주시,자원순환과,경기 여주시 세종로 1,031-887-2787,음식물자원화사업장,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-
182,기초,경기도,여주시,자원순환과,경기 여주시 세종로 1,031-887-2453,하동 선별장,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
183,기초,경기도,여주시,환경과,경기 여주시 세종로 1,031-887-2253,점동창고,-,-,-,-,-,-,5,12,10,6,-,-,-,79박스,48통
184,기초,경기도,연천군,환경보호과,경기 연천군 연천로 220,031-839-2241,연천군청 등,-,-,-,-,1,-,50,-,30,10,1000,-,-,9박스,306
185,기초,경기도,용인시,처인구 도로과,경기 용인시 처인구 금령로 50(김량장동),031-6193-5431,처인구청,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
186,기초,경기도,용인시,기흥구 도로과,경기 용인시 기흥구 관곡로 95(구갈동),031-6193-6415,기흥구청,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
187,기초,경기도,용인시,수지구 건설도로과,경기 용인시 수지구 포은대로 435(풍덕천동),031-6193-8433,수지구청,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
188,기초,경기도,용인시,용인시 기후대기과,경기 용인시 처인구 중부대로 1199(삼가동),031-6193-2244,용인시청,-,-,-,-,-,-,58254,192,357,218,18200,-,-,35,550
189,기초,경기도,의왕시,환경과,경기 의왕시 시청로 11,031-345-3823,의왕시청,-,-,-,-,-,-,15,15,15,15,300,-,-,34개,936 L
190,기초,경기도,의정부시,환경정책과,경기 의정부시 호국로 1049번길 39,031-828-4434,의정부시,-,-,-,-,-,-,5,28,-,-,80,-,-,32박스,4박스
191,기초,경기도,이천시,환경보호과,경기 이천시 부악로 40,031-644-2358,이천시청 지하창소,-,1,-,-,-,-,4,24,112,4,-,-,-,300매,240L+330㎏
192,기초,경기도,이천시,도로관리과,경기 이천시 부악로 40,031-644-2159,도로관리과 도로보수원 사무실,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
193,기초,경기도,이천시,자원순환과,경기 이천시 모가면 공원로 89,031-644-2608,이천시 적환장,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-
194,기초,경기도,파주시,기후위기대응과,경기 파주시 시민회관길 16-11,031-940-8472,파주시청 등,-,-,-,-,-,-,3,5,12,3,-,-,-,139개,1112
195,기초,경기도,하남시,환경정책과,경기 하남시 대청로 10,031-790-5744,본관 지하창고,-,-,-,-,-,-,23335,30(C형),30,30,-,80,-,12박스,288
196,기초,경기도,하남시,자원순환과,경기 하남시 미사대로 710,031-790-5322,하남시 환경기초시설,-,-,1,2,-,5,-,-,-,-,-,-,-,-,-
197,기초,경기도,하남시,자원순환과,경기 하남시 미사대로 710,031-790-5644,하남시 환경기초시설,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-
198,기초,경기도,하남시,차량등록과,경기 하남시 하남대로776번길 79,031-790-5188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
199,기초,경상북도,경산시,환경과,경상북도 경산시 남매로 159,053-810-5476,경산시청 등,-,7,-,-,-,-,-,54,40,60,-,-,-,83박스,30
200,기초,경상북도,경주시,환경정책과,경상북도 경주시 양정로 260(동천동),054-779-6372,경주시청 창고,-,-,-,-,-,-,-,30,100,20,-,-,-,105박스,90L
201,기초,경상북도,고령군,환경과,고령군 대가야읍 왕릉로 55,054-950-6523,고령군청 등,1,-,-,-,-,1,20,20,20,20,-,400,-,70박스,1908
202,기초,경상북도,김천시,환경위생과,김천시 시청1길 1,054-420-6681,김천시 응명동 1012-1,-,1,1,-,2,-,24,16,16,26,-,-,-,"10,800매/54박스",1098
203,기초,경상북도,구미시,환경관리과,경상북도 구미시 농산물시잘로 15,054-480-5275,환경관리과 창고,-,-,-,-,-,-,10,17,38,12,-,-,-,9박스,218
204,기초,경상북도,구미시,자원순환과,경상북도 구미시 산동읍 송백로 497,054-480-5235,환경자원화시설,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-
205,기초,경상북도,봉화군,녹색환경과,경북 봉화군 봉화읍 봉화로 1111,054-679-6403,봉화군청 등,-,1,3,1,-,-,1200,5,100,100,100,-,-,68,500
206,기초,경상북도,상주시,환경관리과,경북 상주시 상산로 223,054-537-7357,경북 상주시 상산로 223 외2,-,2,-,1,-,-,5490,32,32,32,-,-,-,15,30
207,기초,경상북도,성주군,자원순환사업소,경북 성주군 성주읍 삼산3길 73,054-930-6195,자원순환사업소,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
208,기초,경상북도,성주군,환경과,경북 성주군 성주읍 성주로 3200,054-930-6182,방제물품 창고,-,-,-,-,-,-,-,180,50,7,400,-,-,40,60
209,기초,경상북도,안동시,환경관리과,경상북도 안동시 퇴계로 115,054-840-5287,안동시광역매립장 창고 등,-,-,-,-,-,-,10,30,10,10,-,-,75,20,-
210,기초,경상북도,안동시,건설과,경상북도 안동시 퇴계로 115,054-840-6848,"퇴계로 115, 건설과",-,3,-,1,-,1,-,-,-,-,-,-,-,-,-
211,기초,경상북도,안동시,상수도과,경상북도 안동시 정백이골길 6,054-840-5735,"퇴계로 115, 상하수도과",-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
212,기초,경상북도,안동시,공원녹지과,경상북도 안동시 퇴계로 115,054-840-6458,"퇴계로 115, 산림녹지과",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
213,기초,경상북도,안동시,영농지원과,경상북도 안동시 경동로 1484-10(송천동),054-840-5674,안동시 농업기술센터,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-
214,기초,경상북도,안동시시설관리공단,안동환경팀,경상북도 안동시 앙실3길 21-20,054-850-4549,안동하추리장,-,1,1,1,-,2,-,4,3,3,-,700,-,100/4,-
215,기초,경상북도,안동시시설관리공단,풍천환경팀,경북 안동시 풍천면 운골길 156,054-850-4808,풍천공공하수처리시설,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-
216,기초,경상북도,안동시시설관리공단,바이오산단환경팀,경상북도 안동시 풍산읍 산업단지길 77,054-850-4562,바이오산단폐수처리장,-,-,-,-,-,-,1,-,1,5,-,20,-,-,-
217,기초,경상북도,영덕군,환경위생과,경상북도 영덕군 영덕읍 군청길 116,054-730-6582,영덕 환경자원관리센타,-,2,3,1,2,2,-,-,,,-,-,-,77박스,108
218,기초,경상북도,영양군,환경보전과,경북 영양군 영양읍 군청길37,054-680-6510,영양군청 등,-,6,-,4,-,3,1161,12,12,2,-,1000000,-,140,1530
219,기초,경상북도,영주시,환경보호과,경상북도 영주시 시청로 1,054-639-6775,환경관리원 사무실 (창진로 106),1,-,1,-,4,1,-,-,-,-,-,-,-,-,-
220,기초,경상북도,영주시,환경보호과,경상북도 영주시 시청로 1,054-639-6793,한정교 창고 (지천로2번길 47),-,-,-,-,-,-,-,-,-,8,-,-,-,6 박스,280L
221,기초,경상북도,영주시,산림과,경상북도 영주시 시청로 1,054-639-6883,산불진화대 사무실 (적서공단로 92),9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
222,기초,경상북도,영주시,유통지원과,경상북도 영주시 시청로 1,054-639-3954,농업기술센터 (안정면 안심리 131),-,-,-,-,-,9,-,-,-,-,-,-,-,-,-
223,기초,경상북도,영주시,기술지원과,경상북도 영주시 시청로 1,054-639-7394,농업기술센터 (안정면 안풍로 98),1,2,-,-,-,1,-,-,-,-,-,-,-,-,-
224,기초,경상북도,영주시,기술지원과,경상북도 영주시 시청로 1,054-639-3845,영주시 장수면 충효로2032번길 107-38,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
225,기초,경상북도,영주시,축산과,경상북도 영주시 시청로 1,054-639-7353,농업기술센터 (안정면 안심리 131),2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
226,기초,경상북도,영주시,농업정책과,경상북도 영주시 시청로 1,054-639-7305,농업기술센터 (안정면 안심리 131),-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
227,기초,경상북도,영주시,농촌지도과,경상북도 영주시 시청로 1,054-639-7377,농업기술센터 (안정면 안심리 131),-,-,-,-,-,5,-,-,-,-,-,-,-,-,-
228,기초,경상북도,영주시,건설과,경상북도 영주시 시청로 1,054-639-6717,도로보수원사무실 (한정로 88),-,2,-,1,2,-,-,-,-,-,-,-,-,-,-
229,기초,경상북도,영주시,환경사업소,경상북도 영주시 시청로 1,054-639-7787,환경사업소 (적서로 131),-,1,-,2,-,1,-,-,-,-,-,-,-,-,-
230,기초,경상북도,영주시,안전재난과,경상북도 영주시 시청로 1,054-639-5968,안전재난과 (영주시 시청로 1),-,-,-,-,-,-,253,3,-,-,-,-,-,-,-
231,기초,경상북도,영천시,환경보호과,경상북도 영천시 시청로 16,054-330-6483,영천시청 등,-,-,-,-,-,-,23,216,16,34,140,-,-,68박스,1026
232,기초,경상북도,예천군,환경관리과,경북 예천군 예천읍 충효로 111,054-650-6555,예천군순환형 매립장 창고,-,1,3,,1,1,-,-,-,-,-,-,-,35박스,40
233,기초,경상북도,예천군,환경관리과,경북 예천군 예천읍 충효로 111,054-650-6188,예천 1농공단지 공공폐수처리장,-,-,-,-,-,-,2,2,2,2,-,-,-,20박스,-
234,기초,경상북도,예천군,환경관리과,경북 예천군 예천읍 충효로 111,054-650-6188,예천 2농공단지 공공폐수처리장,-,-,-,-,-,-,1,6,8,1,-,-,-,-,-
235,기초,경상북도,예천군,축산과,경북 예천군 충효로 111,054-650-6287,양궁장 창고,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-
236,기초,경상북도,예천군,건설교통과,경북 예천군 예천읍 충효로 111,054-650-6335,도로자재창고,-,1,-,-,-,-,-,-,-,-,-,120000,-,-,-
237,기초,경상북도,예천군,안전재난과,경북 예천군 예천읍 충효로 111,054-650-6151,예천군청 지하1층,-,-,-,-,-,-,79,106,90,107,-,-,-,-,-
238,기초,경상북도,예천군,맑은물사업소,경북 예천군 예천읍 충효로 111,054-650-6372,예천군 공공하수처리장,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-
239,기초,경상북도,예천군,예천읍,경북 예천군 예천읍 군청앞길 2,054-650-8333,예천읍 행정복지센터 창고,-,-,-,-,-,-,560,-,-,-,-,-,-,4박스,-
240,기초,경상북도,예천군,호명읍,경북 예천군 호명읍 오천길 2,054-650-8594,호명읍 행정복지센터 창고,-,-,-,-,-,-,1157,-,-,-,-,-,-,8박스,-
241,기초,경상북도,예천군,용문면,경북 예천군 용문면 금당실길 54,054-650-8392,용문면 행정복지센터 창고,-,-,-,-,-,-,25,-,-,-,-,-,-,1박스,-
242,기초,경상북도,예천군,효자면,경북 예천군 효자면 도효자로 1481,054-650-6603,효자면 행정복지센터 창고,-,-,-,-,-,-,21,-,-,-,-,-,-,4박스,-
243,기초,경상북도,예천군,은풍면,경북 예천군 은풍면 은풍로 88,054-650-8473,은풍면 행정복지센터 창고,-,-,-,-,-,-,41,-,-,-,-,-,-,8박스,-
244,기초,경상북도,예천군,감천면,경북 예천군 감천면 충효로 1389,054-650-8514,감천면 행정복지센터 창고,-,-,-,-,-,-,64,-,-,-,-,-,-,8박스,-
245,기초,경상북도,예천군,보문면,경북 예천군 무근열길 3,054-650-8553,보문면 행정복지센터 창고,-,-,-,-,-,-,33,1,1,1,-,-,-,2박스,-
246,기초,경상북도,예천군,유천면,경북 예천군 유천면 예성로 699-8,054-650-8632,유천면 행정복지센터 창고,-,-,-,-,-,-,45,-,-,-,-,-,-,8박스,-
247,기초,경상북도,예천군,용궁면,경북 예천군 용궁면 읍부1길 45,054-650-8672,용궁면 행정복지센터 창고,-,-,-,-,-,-,51,-,-,-,-,-,-,7박스,-
248,기초,경상북도,예천군,개포면,경북 예천군 개포면 신음리길 28-8,054-650-8714,개포면 행정복지센터 창고,-,-,-,-,-,-,30,-,-,-,-,-,-,6박스,-
249,기초,경상북도,예천군,지보면,경북 예천군 지보면 지보로 126-5,054-650-8752,지보면 행정복지센터 창고,-,-,-,-,-,-,62,-,-,-,-,-,-,9박스,-
250,기초,경상북도,예천군,풍양면,경북 예천군 풍양면 낙상2길 50,054-650-8793,풍양면 행정복지센터 창고,-,-,-,-,-,-,60,-,-,-,-,-,-,3박스,-
251,기초,경상북도,울릉군,환경위생과,경상북도 울릉군 울릉읍 도동2길 66,054-790-6186,사동 폐기물 재활용 선별장 창고,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-
252,기초,경상북도,의성군,환경축산과,경상북도 의성군 군청길 31,054-830-6179,"의성군청(의성,다인매립장)",1,3,-,-,-,2,4,4,4,4,-,-,-,100개/2박스,10
253,기초,경상북도,청도군,환경산림과,경상북도 청도군 화양읍 청화로 70,054-370-2187,청도군청 등,-,23,13,-,-,-,3,3,50,11,200,100,-,17박스,360
254,기초,경상북도,칠곡군,환경관리과,경상북도 칠곡군 왜관읍 군청1길 80,054-979-6692,칠곡군청,-,-,-,-,-,-,6,7,7,7,120,-,-,33,240L
255,기초,경상북도,포항시,환경정책과,포항시 남구 시청로 1,054-270-3113,포항시청 등,1,2,-,-,-,-,5,20,30,10,-,80,40,18,10
256,기초,경상남도,거제시,기후환경과,경상남도 거제시 계룡로 125(고현동) 거제시청,055-639-3933,거제시청 등,-,58,1,2,-,1,1946,11,24,4,-,25690,-,15박스,72
257,기초,경상남도,거창군,환경과,경상남도 거창군 거창읍 중앙로 103,055-940-3514,거창군청 등,-,-,-,-,-,-,3,52,-,3,-,80,-,37박스,162
258,기초,경상남도,김해시,환경정책과,경상남도 김해시 김해대로 2401,055-330-2733,김해시청 등,-,-,-,-,-,-,17,30,93,20,50,50,-,12,-
259,기초,경상남도,김해시,자원순환과,경상남도 김해시 김해대로 2401,055-330-3384,김해시청 등,-,-,1,-,5,-,-,-,-,-,-,-,-,-,-
260,기초,경상남도,남해군,환경과,경상남도 남해군 남해읍 에코파크길 65-10,055-860-3273,남해군청,-,2,1,2,-,2,2,2,2,2,-,-,-,6박스,144
261,기초,경상남도,밀양시,환경관리과,경상남도 밀양시 밀양대로 2047,055-359-5308,밀양시청등,-,-,-,-,-,-,-,-,-,-,-,모래주머니 4000개,-,40박스,300L
262,기초,경상남도,사천시,환경보호과,사천시 용현면 시청로 77,055-831-2777,"시청, 창고 등",2,4,-,-,3,1,91,41,-,-,-,-,-,-,342L
263,기초,경상남도,산청군,환경위생과,경상남도 산청군 산청읍 산엔청로 1,055-970-7122,산청군청 등,-,2,2,-,1,2,-,20,20,10,-,100,-,25박스,126L
264,기초,경상남도,양산시,수질관리과,경남 양산시 중앙로 39,055-392-3582,양산시청 창고,-,-,-,-,-,-,5,5,5,3,150,-,-,8박스,50
265,기초,경상남도,진주시,기후환경과,경상남도 진주시 동진로 155,055-749-8655,진주시청 등,-,4,-,3,-,9,80,-,-,-,480,-,-,3박스,522
266,기초,경상남도,창녕군,환경위생과,경상남도 창녕군 창녕읍 군청길1,055-530-1614,창녕군청,-,-,-,-,-,-,-,-,160,18,-,-,-,61박스,234
267,기초,경상남도,창원시,안전총괄담당관,경상남도 창원시 성산구 중앙대로 151,055-225-4493,민방위창고,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
268,기초,경상남도,창원시,재난대응담당관,경상남도 창원시 성산구 중앙대로 151,055-225-4516,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
269,기초,경상남도,창원시,건설도로과,경상남도 창원시 성산구 중앙대로 151,055-225-4556,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270,기초,경상남도,창원시,환경정책과,경상남도 창원시 성산구 중앙대로 151,055-225-3533,창원시청,-,-,-,-,-,-,-,-,-,-,-,-,-,20,54
271,기초,경상남도,창원시 의창구,안전건설과,경상남도 창원시 의창구 원이대로 80,055-212-4655,팔용동자재창고,-,-,-,-,-,-,210,-,-,-,-,-,-,-,-
272,기초,경상남도,창원시 성산구,안전건설과,경상남도 창원시 성산구 창원대로 1086(성주동),055-272-4654,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
273,기초,경상남도,창원시 마산합포구,안전건설과,경상남도 창원시 마산합포구 3·15대로 210,055-220-4659,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
274,기초,경상남도,창원시 마산회원구,안전건설과,경상남도 창원시 마산회원구 삼호로 63,055-230-4656,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
275,기초,경상남도,창원시 진해구,안전건설과,창원시 진해구 진해대로 1101,055-548-4656,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
276,기초,경상남도,창원시 의창구,환경과,경상남도 창원시 의창구 원이대로 80,055-212-4573,의창구청 등,-,-,-,-,-,-,1,3,60,30,-,-,-,20박스,54
277,기초,경상남도,창원시 성산구,환경과,경상남도 창원시 성산구 창원대로 1086(성주동),055-272-4573,성산구청,-,-,-,-,-,-,-,-,-,3,-,-,-,30박스,54
278,기초,경상남도,창원시 마산합포구,환경과,경상남도 창원시 마산합포구 3·15대로 210,055-220-4573,마산합포구청 내,-,-,-,-,-,-,-,30,-,14,-,-,-,20박스,200
279,기초,경상남도,창원시 마산회원구,환경과,경상남도 창원시 마산회원구 삼호로 63,055-230-4573,마산회원구청 등,-,-,-,-,-,-,-,11,-,20,-,-,-,80박스,66
280,기초,경상남도,창원시 진해구,환경과,창원시 진해구 진대해로 1101,055-548-4573,진해구청,-,-,-,-,-,-,-,10,20,10,-,-,-,13박스,64
281,기초,경상남도,통영시,환경과,경상남도 통영시 통영해안로 515,055-650-5425,통영시청 등,-,-,-,-,-,-,-,-,-,-,-,-,-,11개/35박스,-
282,기초,경상남도,통영시,자원순환과,경상남도 통영시 통영해안로 515,055-650-1333,통영환경자원화센터,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-
283,기초,경상남도,하동군,환경보호과,경상남도 하동군 하동읍 군청로 23,055-880-2574,수도사업과 창고 등,-,-,-,-,-,-,5,5,5,5,-,-,-,"8박스(200매/1박스), 10박스(100매/1박스)",-
284,기초,경상남도,함안군,환경과,경상남도 함안군 가야읍 말산로 1,055-580-2423,함안군청 등,-,1,1,-,-,2,-,-,-,-,-,"약 6,000",-,37박스,18L
285,기초,경상남도,함양군,환경정책과,경상남도 함양군 함양읍 고운로 35,055-960-6116,"함양군 폐기물종합처리장, 가축분뇨처리장",-,-,2,-,-,1,-,5,35,30,-,-,-,43,45
286,기초,충청북도,괴산군,환경과,충북 괴산군 괴산읍 임꺽정로90,043-830-3623,괴산군청 등,0,5,9,0,0,12,0,0,20,10,0,0,0,13박스,756
287,기초,충청북도,단양군,환경과,충북 단양군 단양읍 중앙1로 10,043-420-2664,창고,-,-,-,-,-,-,-,20,20,5,-,-,-,43박스,30
288,기초,충청북도,보은군,환경위생과,충북 보은군 보은읍 군청길 38,043-540-3532,-,-,2,-,2,1,2,6,4,10,4,-,-,-,19,100
289,기초,충청북도,영동군,환경과,충북 영동군 영동읍 동정로 1,043-740-3428,자원순환센터 등,-,-,11,-,-,1,-,5,-,5,-,80,-,35박스,486
290,기초,충청북도,옥천군,환경과,충북 옥천군 옥천읍 중앙로 99,043-730-3443,환경과 창고,-,-,-,-,-,-,-,-,-,-,-,-,-,30박스,-
291,기초,충청북도,옥천군,상하수도사업소,충북 옥천군 옥천읍 동부로 15,043-730-4855,정수장 창고,-,-,-,-,-,-,-,-,-,-,-,-,-,8박스,-
292,기초,충청북도,음성군,재난안전과,충북 음성군 음성읍 중앙로 173,043-871-3262,음성군 민방위장비 보관창고,-,-,-,-,-,-,532,-,-,-,-,-,-,70개,-
293,기초,충청북도,음성군,감곡면,충북 음성군 감곡면 음성로 2652,043-871-2943,감곡면 행정복지센터,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
294,기초,충청북도,음성군,청소위생과,충북 음성군 음성읍 문화1길 15,043-871-5493,음성군 폐가전집하장,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
295,기초,충청북도,음성군,청소위생과,충북 음성군 음성읍 문화1길 15,043-871-5493,음성군 생활폐기물 청소차 차고지,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
296,기초,충청북도,음성군,축산식품과,충북 음성군 음성읍 용광로 81-5,043-871-3722,축산식품과,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
297,기초,충청북도,음성군,환경과,충북 음성군 음성읍 문화1길 15,043-871-3815,음성군 환경과,-,-,-,-,-,-,-,-,2,-,-,-,-,16개,-
298,기초,충청북도,음성군,금왕읍,충북 음성군 금왕읍 무극로 221,043-871-2597,금왕읍 행정복지센터,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-
299,기초,충청북도,음성군,농업지원과,충북 음성군 음성읍 용광로 81-5,043-871-1952,음성군 농업기술센터,-,9,-,4,-,5,-,-,-,-,-,-,-,-,-
300,기초,충청북도,음성군,복지정책과,충북 음성군 음성읍 중앙로 173,043-871-3329,음성군 재해구호창고,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-
301,기초,충청북도,음성군,보건정책과,충북 음성군 음성읍 중앙로 49,043-871-2222,음성군 보건소,-,-,-,-,-,-,-,770,1800,-,-,-,-,-,-
302,기초,충청북도,음성군,음성읍,충북 음성군 음성읍 신천리 1475,043-871-2535,음성읍 행정복지센터,-,-,-,-,-,-,-,-,-,-,-,-,-,10개,-
303,기초,충청북도,제천시,자연환경과,충북 제천시 내토로 295,043-641-6392,제천시청,-,-,-,-,-,-,-,14,8,30,-,-,10000,29,216(L)
304,기초,충청북도,증평군,환경위생과,충북 증평군 증평읍 광장로 88,043-835-3623,수질개선사업소 창고,-,-,-,-,-,-,-,-,6,4,-,-,450,25박스,240
305,기초,충청북도,진천군,환경과,충북 진천군 진천읍 상산로 13,043-539-3454,진천군청,-,-,-,-,-,-,-,6,2,13,-,-,-,20박스,-
306,기초,충청북도,청주시,재난대응과,충북 청주시 상당구 상당로 69번길 38,043-201-1653,청주시청 등,-,-,-,-,-,-,20,24,15,20,60,-,50,-,-
307,기초,충청북도,충주시,대기환경과,충북 충주시 으뜸로 21,043-850-3673,"충주시청 지하창고, 읍면동 주민센터",-,-,-,-,-,-,2481,4,36,4,-,-,-,4 (케미칼패드 5box 보유),250
308,기초,충청북도,충주시,자원순환과,"충북 충주시 낙수당1길 41, 대형폐기물처리센터(칠금동)",043-850-6989,대형폐기물처리센터,-,1,1,1,-,1,-,-,-,-,-,-,-,-,-
309,광역,충청남도,충청남도,천안동남소방서,충청남도 천안시 동남구 천안대로 580,041-570-0313,천안동남소방서,-,-,-,-,-,-,31,20,14,7,195,"2,892",565,12박스,-
310,광역,충청남도,충청남도,천안서북소방서,충청남도 천안시 서북구 4산단2길 32,041-360-0313,천안서북소방서,-,-,-,-,-,-,-,86,18,2,175,"4,160",2120,1900/19,-
311,광역,충청남도,충청남도,공주소방서,충청남도 공주시 무령로 55,041-851-0313,공주소방서 등,-,-,-,-,-,-,-,-,-,-,120,-,875,111박스,-
312,광역,충청남도,충청남도,보령소방서,충청남도 보령시 성주산로 63,041-930-0311,보령소방서,-,-,-,-,-,-,15,16,57,3,-,195,769,100/17,-
313,광역,충청남도,충청남도,아산소방서,충청남도 아산시 모종로 77,041-538-0311,아산소방서,-,-,-,-,-,-,-,94,59,4,80,1220,1130,7000/70,-
314,광역,충청남도,충청남도,서산소방서,충청남도 서산시 호수공원14로 26-4,041-689-0311,서산소방서,-,-,-,-,-,-,-,25,25,25,-,-,500,10박스,-
315,광역,충청남도,충청남도,논산소방서,충청남도 논산시 대학로 17,041-730-0313,논산소방서,-,-,-,-,-,-,2,15,2,2,320,95,730,100/7박스,-
316,광역,충청남도,충청남도,계룡소방서,충청남도 계룡시 문화로 32,042-540-0311,계룡소방서,-,-,-,-,-,-,10,12,6,9,,,1150,750개/9박스,-
317,광역,충청남도,충청남도,당진소방서,충청남도 당진시 역천로 838,041-350-5313,당진소방서,-,-,-,-,-,-,33,20,12,5,60,500,950,7200/72,-
318,광역,충청남도,충청남도,금산소방서,충청남도 금산군 삼풍로 2,041-750-1312,금산소방서 등,-,-,-,-,-,-,-,10,19,10,125,-,350,11,-
319,광역,충청남도,충청남도,부여소방서,충청남도 부여군 규암면 계백로 17,041-830-0311,부여소방서,-,-,-,-,-,-,5,18,4,4,200,,300,600/6,-
