연번,업체명,주소,대표전화,시설분류,취급가스물질,CAS번호,허가량,법정기준일,관할지사
582,(주)원익머트리얼즈\_3공장,충청북도 청주시 청원구 오창읍 양청3길 26,0432104300,일반저장,염소,7782-50-5,120.65㎥,20210720,충북본부
583,(주)원익머트리얼즈\_3공장,충청북도 청주시 청원구 오창읍 양청3길 26,0432104300,일반저장,포스핀,7803-51-2,7.097㎥,20210720,충북본부
584,(주)원익머트리얼즈\_3공장,충청북도 청주시 청원구 오창읍 양청3길 26,0432104300,일반저장,디보레인,19287-45-7,7.379㎥,20210720,충북본부
585,(주)원익머트리얼즈\_3공장,충청북도 청주시 청원구 오창읍 양청3길 26,0432104300,일반제조,CO,630-08-0,5293.134㎥,20220720,충북본부
586,(주)풀무원헬스케어,충청북도 증평군 도안면 원명로 35,0438207630,냉동제조,암모니아,7664-41-7,251RT,20090223,충북본부
587,파워마스터반도체(주),충청북도 청주시 흥덕구 옥산면 과학산업4로 79-20,0432196811,일반저장,염소,7782-50-5,.117Ton,20220209,충북본부
588,파워마스터반도체(주),충청북도 청주시 흥덕구 옥산면 과학산업4로 79-20,0432196811,일반저장,NH3,7664-41-7,.05Ton,20220209,충북본부
589,파워마스터반도체(주),충청북도 청주시 흥덕구 옥산면 과학산업4로 79-20,0432196811,일반저장,SiH4,7803-62-5,13.92㎥,20220209,충북본부
590,파워마스터반도체(주),충청북도 청주시 흥덕구 옥산면 과학산업4로 79-20,0432196811,일반저장,NO,10102-43-9,13.92㎥,20220209,충북본부
591,파워마스터반도체(주),충청북도 청주시 흥덕구 옥산면 과학산업4로 79-20,0432196811,일반저장,5%PH3/He,7803-51-2,13.92㎥,20220209,충북본부
592,파워마스터반도체(주),충청북도 청주시 흥덕구 옥산면 과학산업4로 79-20,0432196811,일반저장,5%PH3/N2,7803-51-2,13.92㎥,20211123,충북본부
593,파워마스터반도체(주),충청북도 청주시 흥덕구 옥산면 과학산업4로 79-20,0432196811,일반저장,SiH4,7803-62-5,13.92㎥,20211123,충북본부
594,파워마스터반도체(주),충청북도 청주시 흥덕구 옥산면 과학산업4로 79-20,0432196811,일반저장,브롬화수소,10035-10-6,.094Ton,20211123,충북본부
595,파워마스터반도체(주),충청북도 청주시 흥덕구 옥산면 과학산업4로 79-20,0432196811,일반저장,염소,7782-50-5,.117Ton,20211123,충북본부
596,파워마스터반도체(주),충청북도 청주시 흥덕구 옥산면 과학산업4로 79-20,0432196811,일반저장,암모니아,7664-41-7,.05Ton,20211123,충북본부
597,(주)퓨엠,충청북도 증평군 도안면 증평2산단로 197,0438389572,일반판매,디실란,1590-87-0,0,20200716,충북본부
598,(주)퓨엠,충청북도 증평군 도안면 증평2산단로 197,0438389572,일반저장,Si2H6,1590-87-0,13.912㎥,20210116,충북본부
599,(주)퓨엠,충청북도 증평군 도안면 증평2산단로 197,0438389572,일반저장,10%GEH4/H2,7782-65-2,13.912㎥,20210116,충북본부
600,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반제조,B2H6/H2,19287-45-7,360N㎥/day,20210527,충북본부
601,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반제조,BF3,7637-07-2,180.6㎥,20210527,충북본부
602,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반충전,B2H6,19287-45-7,142㎥,20210527,충북본부
603,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반충전,B2H6,19287-45-7,12.08㎥,20210527,충북본부
604,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,B2H6+He,19287-45-7,14.2㎥,20210527,충북본부
605,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,B2H6+He,19287-45-7,14.2㎥,20210527,충북본부
606,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,30%B2H6/He,19287-45-7,284㎥,20210527,충북본부
607,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,B2H6,19287-45-7,142㎥,20210527,충북본부
608,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,30%B2H6/He,19287-45-7,284㎥,20210527,충북본부
609,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,30%B2H6/N2,19287-45-7,284㎥,20210527,충북본부
610,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,30%B2H6/He,19287-45-7,284㎥,20210527,충북본부
611,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,B2H6,19287-45-7,284㎥,20210527,충북본부
612,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,1%B2H6/H2,19287-45-7,71㎥,20210527,충북본부
613,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,5%B2H6/N2,19287-45-7,71㎥,20210527,충북본부
614,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,30%B2H6/N2,19287-45-7,284㎥,20210527,충북본부
615,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,30%B2H6/He,19287-45-7,284㎥,20210527,충북본부
616,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,30%B2H6/N2,19287-45-7,284㎥,20210527,충북본부
617,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,30%B2H6/He,19287-45-7,284㎥,20210527,충북본부
618,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,B2H6,19287-45-7,284㎥,20210527,충북본부
619,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,B2H6,19287-45-7,284㎥,20210527,충북본부
620,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,30%B2H6+H2,19287-45-7,71㎥,20210527,충북본부
621,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,30%B2H6/N2,19287-45-7,284㎥,20210527,충북본부
622,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,30%B2H6/He,19287-45-7,284㎥,20210527,충북본부
623,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,0.1%B2H6+H2,19287-45-7,71㎥,20210527,충북본부
624,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,10%B2H6+H2,19287-45-7,71㎥,20210527,충북본부
625,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,B2H6,19287-45-7,71㎥,20210527,충북본부
626,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,30%B2H6/N2,19287-45-7,284㎥,20210527,충북본부
627,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반저장,B2H6,19287-45-7,284㎥,20210527,충북본부
628,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반제조,B2H6,19287-45-7,720N㎥/day,20230622,충북본부
629,티이엠씨(주)B공장,충청북도 보은군 삼승면 남부로 3790-114,0432983333,일반제조,BF3,7637-07-2,142㎥,20230622,충북본부
630,(주)케이씨인더스트리얼 제2공장,충청북도 진천군 덕산읍 신척산단5로 197 (KC인더스트리얼),0329251022,일반판매,일산화탄소,630-08-0,2399,20220428,충북본부
631,(주)케이씨인더스트리얼 제2공장,충청북도 진천군 덕산읍 신척산단5로 197 (KC인더스트리얼),0329251022,특고사용,암모니아,7664-41-7,25.3㎏,20220428,충북본부
632,에스케이에어코어(주)\_1공장 PH2,충청북도 청주시 흥덕구 2순환로 894번길 71,07074371500,일반저장,NH3,7664-41-7,10.695Ton,20230424,충북본부
633,에스케이에어코어(주)\_1공장 PH2,충청북도 청주시 흥덕구 2순환로 894번길 71,07074371500,일반저장,NH3,7664-41-7,10.695Ton,20230424,충북본부
634,에스케이에어코어(주)\_1공장 PH2,충청북도 청주시 흥덕구 2순환로 894번길 71,07074371500,일반저장,NH3,7664-41-7,10.695Ton,20230424,충북본부
635,티이엠씨(주)C공장,충청북도 보은군 삼승면 남부로 3787-92,0432983333,일반제조,CO,630-08-0,5041.08㎥,20240206,충북본부
636,티이엠씨(주)C공장,충청북도 보은군 삼승면 남부로 3787-92,0432983333,일반제조,CO,630-08-0,208.68㎥,20240206,충북본부
637,티이엠씨(주)C공장,충청북도 보은군 삼승면 남부로 3787-92,0432983333,일반제조,CO,630-08-0,9.005Ton/day,20240206,충북본부
638,티이엠씨(주)C공장,충청북도 보은군 삼승면 남부로 3787-92,0432983333,일반제조,CO,630-08-0,6867.816N㎥/day,20240206,충북본부
639,티이엠씨(주)C공장,충청북도 보은군 삼승면 남부로 3787-92,0432983333,일반제조,CO,630-08-0,14.784㎥,20240729,충북본부
640,(주)진성이엔지,충청북도 괴산군 청안면 첨단산단2로 9,0437607554,일반제조,C4F6,685-63-2,12.964Ton/day,20250326,충북본부
641,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,CO,630-08-0,0㎥,20140413,충북본부
642,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,염소,7782-50-5,0Ton,20140413,충북본부
643,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,브롬화수소,10035-10-6,0Ton,20140413,충북본부
644,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,NO,10102-43-9,0㎥,20140413,충북본부
645,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,B2H6(1%)/H2,19287-45-7,0㎥,20140413,충북본부
646,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,F2(1%)/He/Ar/kr/Ne,7782-41-4,0㎥,20140413,충북본부
647,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,0.5%HCl/Ne,7647-01-0,0㎥,20140413,충북본부
648,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,F2(0.95%)/Ar(1.25%)/Ne,7782-41-4,0㎥,20140413,충북본부
649,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,F2(0.95%)/Ar(3.5%)/Ne,7782-41-4,0㎥,20140413,충북본부
650,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,SiH4,7803-62-5,0㎥,20140413,충북본부
651,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,1%PH3/N2,7803-51-2,0㎥,20140413,충북본부
652,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,B2H6(5%)/N2,19287-45-7,0㎥,20140413,충북본부
653,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,B2H6(5%)/N2,19287-45-7,0㎥,20140413,충북본부
654,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,사불화규소,7783-61-1,0㎥,20140413,충북본부
655,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,염소,7782-50-5,.118Ton,20140413,충북본부
656,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,암모니아,7664-41-7,0Ton,20140413,충북본부
657,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,암모니아,7664-41-7,0Ton,20140413,충북본부
658,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,NH3,7664-41-7,.08㎏,20240214,충북본부
659,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,NOCl,10102-43-9,.19㎏,20240214,충북본부
660,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,1%B2H6/H2,19287-45-7,15.6㎥,20240214,충북본부
661,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,1%F2/He/Ar/Kr/Ne,7782-41-4,12㎥,20240214,충북본부
662,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,1%B2H6/H2,19287-45-7,187.2㎥,20240413,충북본부
663,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,모노실란,7803-62-5,69.56㎥,20260210,충북본부
664,"에스케이하이닉스,실트론(주),-1공장",충청북도 청주시 흥덕구 대신로 215,0439073463,일반저장,NH3,7664-41-7,.1Ton,20260210,충북본부
665,(주)에프알디 진천2공장,충청북도 진천군 덕산읍 신척산단5로 45,07044927823,일반판매,셀렌화수소,7783-07-5,0,20241120,충북본부
666,(주)에프알디 진천2공장,충청북도 진천군 덕산읍 신척산단5로 45,07044927823,일반판매,트라이플루오린화염소,7790-91-2,0,20241120,충북본부
667,(주)에프알디 진천2공장,충청북도 진천군 덕산읍 신척산단5로 45,07044927823,일반판매,이불화산소,7783-41-7,0,20241120,충북본부
668,(주)에프알디 진천2공장,충청북도 진천군 덕산읍 신척산단5로 45,07044927823,일반판매,불소,7782-41-4,0,20241120,충북본부
669,(주)에프알디 진천2공장,충청북도 진천군 덕산읍 신척산단5로 45,07044927823,일반판매,산화에틸렌,75-21-8,0,20241120,충북본부
670,(주)에프알디 진천2공장,충청북도 진천군 덕산읍 신척산단5로 45,07044927823,일반판매,PF3,7783-55-3,0,20241120,충북본부
671,(주)에프알디 진천2공장,충청북도 진천군 덕산읍 신척산단5로 45,07044927823,일반판매,요오드화수소,10034-85-2,0,20241120,충북본부
672,(주)에프알디 진천2공장,충청북도 진천군 덕산읍 신척산단5로 45,07044927823,일반판매,HI/N2,10034-85-2,0,20241120,충북본부
673,(주)에프알디 진천2공장,충청북도 진천군 덕산읍 신척산단5로 45,07044927823,특고사용,암모니아,7664-41-7,27㎏,20240624,충북본부
674,(주)원익머트리얼즈\_후기리,충청북도 청주시 청원구 오창읍 후기리 오창테크노폴리스 산업시설용지 산업 8BL,0432104600,일반제조,삼불화인,7783-55-3,2.024Ton,20251121,충북본부
675,(주)원익머트리얼즈\_후기리,충청북도 청주시 청원구 오창읍 후기리 오창테크노폴리스 산업시설용지 산업 8BL,0432104600,일반제조,암모니아,7664-41-7,.025Ton,20251121,충북본부
676,(주)원익머트리얼즈\_후기리,충청북도 청주시 청원구 오창읍 후기리 오창테크노폴리스 산업시설용지 산업 8BL,0432104600,일반제조,삼불화인,7783-55-3,108.768N㎥/day,20251121,충북본부
677,효성네오켐(주) 옥산공장,충청북도 청주시 흥덕구 옥산면 옥산산단로 93,0432493695,일반제조,NH3,7664-41-7,17.088Ton/day,20220825,충북본부
678,효성네오켐(주) 옥산공장,충청북도 청주시 흥덕구 옥산면 옥산산단로 93,0432493695,일반제조,NH3,7664-41-7,32.69Ton,20220825,충북본부
679,주성이앤지,"충청북도 보은군 산외면 이식로 24 주1,2,4동 11호실",0426267136,일반판매,R-32,75-10-5,0,20251204,충북본부
680,(주)한양에어테크,"충청북도 보은군 산외면 이식로 24 주1,3,4동 13호실",07077770288,일반판매,R-32,75-10-5,0,20251204,충북본부
681,한국특수가스(주),전북특별자치도 익산시 서동로32길 11 (금강동),0638338383,일반판매,아황산가스,7446-09-5,,19960902,전북본부
682,한국특수가스(주),전북특별자치도 익산시 서동로32길 11 (금강동),0638338383,일반판매,암모니아,7664-41-7,,19960902,전북본부
683,한국특수가스(주),전북특별자치도 익산시 서동로32길 11 (금강동),0638338383,일반판매,염소,7782-50-5,,19960902,전북본부
684,한국특수가스(주),전북특별자치도 익산시 서동로32길 11 (금강동),0638338383,일반판매,산화에틸렌,75-21-8,,19960902,전북본부
685,하이트맥주(주)전주공장,전북특별자치도 완주군 용진읍 신지송광로 25-33,0632406111,냉동제조,암모니아,7664-41-7,88.6RT,,전북본부
686,하이트맥주(주)전주공장,전북특별자치도 완주군 용진읍 신지송광로 25-33,0632406111,냉동제조,암모니아,7664-41-7,88.6RT,,전북본부
687,하이트맥주(주)전주공장,전북특별자치도 완주군 용진읍 신지송광로 25-33,0632406111,냉동제조,암모니아,7664-41-7,2628.54RT,19961010,전북본부
688,(주)한솔케미칼 전주공장,전북특별자치도 완주군 봉동읍 과학로 873,0632608072,일반저장,암모니아,7664-41-7,3.664Ton,20141121,전북본부
689,(주)한솔케미칼 전주공장,전북특별자치도 완주군 봉동읍 과학로 873,0632608072,특고사용,암모니아,7664-41-7,52㎏,20140813,전북본부
690,(주)한솔케미칼 전주공장,전북특별자치도 완주군 봉동읍 과학로 873,0632608072,특고사용,암모니아,7664-41-7,102㎏,20150731,전북본부
691,(주)한솔케미칼 전주공장,전북특별자치도 완주군 봉동읍 과학로 873,0632608072,특고사용,암모니아,7664-41-7,151.608㎏,20210302,전북본부
692,(주)한솔케미칼 전주공장,전북특별자치도 완주군 봉동읍 과학로 873,0632608072,일반저장,암모니아,7664-41-7,2.805Ton,20231013,전북본부
693,(주)한솔케미칼 전주공장,전북특별자치도 완주군 봉동읍 과학로 873,0632608072,일반저장,모노클로로실란,13465-78-6,8.539Ton,20231013,전북본부
694,(주)한솔케미칼 전주공장,전북특별자치도 완주군 봉동읍 과학로 873,0632608072,특고사용,암모니아,7664-41-7,151.61㎏,20231103,전북본부
695,(주)하림,전북특별자치도 익산시 망성면 망성로 14,0638602297,냉동제조,암모니아,7664-41-7,916.56RT,20190729,전북본부
696,(주)하림,전북특별자치도 익산시 망성면 망성로 14,0638602297,냉동제조,암모니아,7664-41-7,2646.42RT,20180906,전북본부
697,(주)하림,전북특별자치도 익산시 망성면 망성로 14,0638602297,냉동제조,암모니아,7664-41-7,1444.46RT,20190729,전북본부
698,(주)하림,전북특별자치도 익산시 망성면 망성로 14,0638602297,냉동제조,암모니아,7664-41-7,1499.85RT,20190906,전북본부
699,(주)하림,전북특별자치도 익산시 망성면 망성로 14,0638602297,냉동제조,암모니아,7664-41-7,475.08RT,20250507,전북본부
700,피케이씨(주),전북특별자치도 군산시 임해로 494-16 (소룡동),0634501712,일반제조,염소,7782-50-5,21.08Ton,19960803,전북본부
701,피케이씨(주),전북특별자치도 군산시 임해로 494-16 (소룡동),0634501712,일반제조,염소,7782-50-5,112.56Ton/day,19960803,전북본부
702,피케이씨(주),전북특별자치도 군산시 임해로 494-16 (소룡동),0634501712,일반제조,염소,7782-50-5,10Ton,19960803,전북본부
703,피케이씨(주),전북특별자치도 군산시 임해로 494-16 (소룡동),0634501712,일반제조,염소,7782-50-5,10Ton,19960803,전북본부
704,피케이씨(주),전북특별자치도 군산시 임해로 494-16 (소룡동),0634501712,일반제조,염소,7782-50-5,112.56Ton/day,19960803,전북본부
705,피케이씨(주),전북특별자치도 군산시 임해로 494-16 (소룡동),0634501712,일반판매,PF3,7783-55-3,0,20240613,전북본부
706,피케이씨(주),전북특별자치도 군산시 임해로 494-16 (소룡동),0634501712,특고사용,염소,7782-50-5,58.75㎏,20240828,전북본부
707,피케이씨(주),전북특별자치도 군산시 임해로 494-16 (소룡동),0634501712,일반제조,불화수소,7664-39-3,.008Ton,20241114,전북본부
708,피케이씨(주),전북특별자치도 군산시 임해로 494-16 (소룡동),0634501712,일반제조,불화수소,7664-39-3,.001Ton/day,20241114,전북본부
709,피케이씨(주),전북특별자치도 군산시 임해로 494-16 (소룡동),0634501712,일반제조,삼불화인,7783-55-3,1.289N㎥/day,20241114,전북본부
710,피케이씨(주),전북특별자치도 군산시 임해로 494-16 (소룡동),0634501712,일반제조,삼불화인,7783-55-3,.053Ton/day,20241114,전북본부
711,대상(주)군산공장,전북특별자치도 군산시 외항1길 208 (소룡동),0634692100,특고사용,암모니아,7664-41-7,1545m,20231108,전북본부
712,대상(주)군산공장,전북특별자치도 군산시 외항1길 208 (소룡동),0634692100,특고사용,암모니아,7664-41-7,59㎏,20240906,전북본부
713,(주)엘엑스글라스,전북특별자치도 군산시 외항1길 296 (소룡동),0634604145,일반저장,아황산가스,7446-09-5,1Ton,20170106,전북본부
714,(주)한농화성,전북특별자치도 군산시 외항1길 24 (소룡동),0634622455,일반제조,산화에틸렌,75-21-8,75.9Ton,19990515,전북본부
715,삼양화성(주) 전주공장,전북특별자치도 전주시 덕진구 온고을로 376 (팔복동3가),0632101755,특정제조,염소,7782-50-5,32.7Ton,19961210,전북본부
716,삼양화성(주) 전주공장,전북특별자치도 전주시 덕진구 온고을로 376 (팔복동3가),0632101755,특정제조,염소,7782-50-5,17919N㎥/day,19961210,전북본부
717,삼양화성(주) 전주공장,전북특별자치도 전주시 덕진구 온고을로 376 (팔복동3가),0632101755,특정제조,염소,7782-50-5,32.8Ton,19961210,전북본부
718,삼양화성(주) 전주공장,전북특별자치도 전주시 덕진구 온고을로 376 (팔복동3가),0632101755,특정제조,일산화탄소,630-08-0,7668㎥,19981210,전북본부
719,삼양화성(주) 전주공장,전북특별자치도 전주시 덕진구 온고을로 376 (팔복동3가),0632101755,특정제조,일산화탄소,630-08-0,7668㎥,19981210,전북본부
720,삼양화성(주) 전주공장,전북특별자치도 전주시 덕진구 온고을로 376 (팔복동3가),0632101755,특정제조,일산화탄소,630-08-0,1944㎥,19981210,전북본부
721,삼양화성(주) 전주공장,전북특별자치도 전주시 덕진구 온고을로 376 (팔복동3가),0632101755,특정제조,포스겐,75-44-5,7.91Ton,20021210,전북본부
722,삼양화성(주) 전주공장,전북특별자치도 전주시 덕진구 온고을로 376 (팔복동3가),0632101755,특정제조,염소,7782-50-5,6.16Ton,20021210,전북본부
723,삼양화성(주) 전주공장,전북특별자치도 전주시 덕진구 온고을로 376 (팔복동3가),0632101755,특정제조,염소,7782-50-5,55.69Ton,20021210,전북본부
724,삼양화성(주) 전주공장,전북특별자치도 전주시 덕진구 온고을로 376 (팔복동3가),0632101755,특정제조,포스겐,75-44-5,78.34Ton,20021210,전북본부
725,삼양화성(주) 전주공장,전북특별자치도 전주시 덕진구 온고을로 376 (팔복동3가),0632101755,특정제조,일산화탄소,630-08-0,20390㎥,20021210,전북본부
726,삼양화성(주) 전주공장,전북특별자치도 전주시 덕진구 온고을로 376 (팔복동3가),0632101755,특정제조,일산화탄소,630-08-0,2055㎥,20021210,전북본부
727,오씨아이(주)군산공장,전북특별자치도 군산시 외항로 82 (소룡동),0634606632,특정제조,염소,7782-50-5,18.2Ton,19960807,전북본부
728,오씨아이(주)군산공장,전북특별자치도 군산시 외항로 82 (소룡동),0634606632,특정제조,염소,7782-50-5,41.2Ton,19960807,전북본부
729,오씨아이(주)군산공장,전북특별자치도 군산시 외항로 82 (소룡동),0634606632,특정제조,염소,7782-50-5,41.2Ton,19960807,전북본부
730,오씨아이(주)군산공장,전북특별자치도 군산시 외항로 82 (소룡동),0634606632,특정제조,염소,7782-50-5,22.6Ton,19960807,전북본부
731,오씨아이(주)군산공장,전북특별자치도 군산시 외항로 82 (소룡동),0634606632,특정제조,염소,7782-50-5,22.6Ton,19960807,전북본부
732,오씨아이(주)군산공장,전북특별자치도 군산시 외항로 82 (소룡동),0634606632,특정제조,포스겐,75-44-5,132.9Ton/day,19960807,전북본부
733,오씨아이(주)군산공장,전북특별자치도 군산시 외항로 82 (소룡동),0634606632,특정제조,일산화탄소,630-08-0,36607N㎥/day,19960807,전북본부
734,오씨아이(주)군산공장,전북특별자치도 군산시 외항로 82 (소룡동),0634606632,특정제조,염소,7782-50-5,106.1Ton/day,19960807,전북본부
735,오씨아이(주)군산공장,전북특별자치도 군산시 외항로 82 (소룡동),0634606632,특정제조,염소,7782-50-5,157.7Ton/day,19960807,전북본부
736,오씨아이(주)군산공장,전북특별자치도 군산시 외항로 82 (소룡동),0634606632,특정제조,염소,7782-50-5,.176Ton/day,20080212,전북본부
737,오씨아이(주)군산공장,전북특별자치도 군산시 외항로 82 (소룡동),0634606632,특고사용,암모니아,7664-41-7,52.68㎏,20141209,전북본부
738,오씨아이(주)군산공장,전북특별자치도 군산시 외항로 82 (소룡동),0634606632,특고사용,암모니아,7664-41-7,68.6㎏,20150113,전북본부
739,오씨아이(주)군산공장,전북특별자치도 군산시 외항로 82 (소룡동),0634606632,특고사용,염소,7782-50-5,400㎏,20211007,전북본부
740,대영종합가스(주),전북특별자치도 군산시 외항안길 276 (소룡동),0634676860,냉동제조,암모니아,7664-41-7,25.3RT,,전북본부
741,대영종합가스(주),전북특별자치도 군산시 외항안길 276 (소룡동),0634676860,냉동제조,암모니아,7664-41-7,28.2RT,,전북본부
742,오씨아이(주)익산공장,전북특별자치도 익산시 보석로4길 107 (신흥동),0638307762,특고사용,암모니아,7664-41-7,150㎏,19980517,전북본부
743,동우화인켐(주)\_1부지,전북특별자치도 익산시 약촌로 132 (신흥동),0638302883,일반저장,암모니아,7664-41-7,21Ton,19990510,전북본부
744,동우화인켐(주)\_1부지,전북특별자치도 익산시 약촌로 132 (신흥동),0638302883,일반저장,암모니아,7664-41-7,21.23Ton,19990510,전북본부
745,동우화인켐(주)\_1부지,전북특별자치도 익산시 약촌로 132 (신흥동),0638302883,특고사용,암모니아,7664-41-7,21.936㎏,20150320,전북본부
746,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),0632702158,특고사용,암모니아,7664-41-7,5.06㎥,20091228,전북본부
747,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),0632702158,특고사용,디보레인,19287-45-7,.07㎥,20091228,전북본부
748,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),0632702158,특고사용,포스핀,7803-51-2,6.22㎥,20091228,전북본부
749,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),0632702158,특고사용,염소,7782-50-5,5.88㎥,20091228,전북본부
750,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),0632702158,특고사용,모노실란,7803-62-5,8.2㎥,20091228,전북본부
751,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),0632702158,특고사용,모노게르만,7782-65-2,.11㎥,20091228,전북본부
752,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),0632702158,특고사용,암모니아,7664-41-7,7㎥,20161128,전북본부
753,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),0632702158,특고사용,모노실란,7803-62-5,7㎥,20161128,전북본부
754,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),0632702158,특고사용,암모니아,7664-41-7,7㎥,20161128,전북본부
755,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),0632702158,특고사용,암모니아,7664-41-7,7㎥,20161128,전북본부
756,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),0632702158,특고사용,암모니아,7664-41-7,25.26㎏,20230403,전북본부
757,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),0632702158,특고사용,암모니아,7664-41-7,25.26㎏,20230403,전북본부
758,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),0632702158,특고사용,암모니아,7664-41-7,25.27㎏,20240221,전북본부
