연번,구분,업소명,소재지,대표전화,대상폐기물
155,수집운반,(주)보원에코,경북 포항시 남구 연일읍 철강로 107번길 17-6 (오천리),054-285-3088,"지정폐기물(액상, 고상)"
156,수집운반,신진산업,"대구광역시 군위군 군위읍 경북대로 3389, 201호",별도문의,"폐합성고분자화합물, 폐수처리오니, 소각재, 폐내화물, 폐석면"
157,수집운반,신성비철산업,대구 동구 안심로 65길 10,053-963-8877,"폐유 고상(JF 케이블, PCBs 2ppm 미만 폐변압기류), PCBs 함유 폐기물 고상(PCBs 2ppm 이상 폐변압기류)"
158,수집운반,동일환경㈜,경북 포항시 북구 흥해읍 동해대로 878 B동 105호,054-273-3328,"지정폐기물(고상, 액상)"
159,수집운반,(주)한국이앤티,경북 구미시 인동가산로 562,054-474-8087,지정폐기물(액상)
160,수집운반,에이치에스씨케미칼(구.HSC케미칼),경북 칠곡군 석적읍 동중리1길 79 (중리),054-471-1006,폐염산(액상)
161,수집운반,㈜비씨에너지,경북 경주시 외동읍 개곡공단길 140,054-748-5960,"폐유(액상), 폐유기용제(액상), 폐페인트(액상)"
162,수집운반,㈜피제이산업,경북 영천시 도남공단길 21,054-292-2290,"액상(폐유, 폐유기용제, 폐페인트, 폐락카, 폐산, 폐알칼리, 폐농약, 폴리클로리네이티드비페닐 함유 폐기물)
고상(폐유, 폐유기용제, 폐페인트, 폐락카, 분진, 오니류, 폐농약, 광재, 폐주물사 및 폐사, 소각재, 폐촉매, 폐흡착제 및 폐흡수제), 폐유독물질"
163,수집운반,㈜태인산업,경북 칠곡군 기산면 남평로 120,054-974-5599,지정폐기물(고상)
164,수집운반,주식회사 대금,경북 영천시 고경면 호국로 1516-81,별도문의,"지정폐기물[고상(오니류, 광재, 분진, 폐내화물, 소각재, 폐석면, 그 밖의 폐합성고분자화합물, 폐황산이 포함된 2차폐축전지, 폐유성 페인트, 폐수성페인트, 그 밖의 폐광물유, 그 밖의 폐유기용제, 폐흡착제)]"
165,수집운반,㈜에스에이치로지스,"경북 구미시 인동25길 15, 202호(정우빌딩)",054-473-0208,"지정폐기물[액상(폐산, 폐알칼리, 그 밖의 폐유독물질)]"
166,수집운반,㈜금백테크,대구 달성군 논공읍 비슬로 264길 56,053-617-5011,"지정폐기물[폐유(PCBs 농도 2ppm 미만, 2ppm 이상 함유 폐변압기), 폐배터리, 폐합성고분자화합물, 오니류, 폐농약, 폐산, 폐알칼리, 광재, 분진, 폐주물사 및 폐사, 폐촉매, 폐유기용제, 폐페인트 및 폐락카, 폐유, 폴리클로리네이티드비페닐 함유 폐기물]"
167,수집운반,㈜성은,경북 구미시 1공단로 10길 53-24,054-461-8147,"지정폐기물[액상(폐산, 폐알칼리)]"
168,수집운반,한일정유㈜,경북 경산시 자인면 자인공단로 50,053-856-8672,"지정폐기물(액상) : 오니류(폐수처리오니, 공정오니), 폐농약, 폐산, 폐알칼리, 폐유기용제(할로겐족, 그 밖의 폐유기용제), 폐페인트 및 폐래커, 폐유, 폴리클로리네이티드비페닐 함유 폐기물, 폐유독물
지정폐기물(고상) : 오니류(폐수처리오니, 공정오니), 폐농약, 폐산, 폐알칼리, 광재, 분진, 폐주물사 및 샌드블라스트폐사, 폐내화물 및 재벌구이 전에 유약을 바른 도자기 조각, 소각재, 안정화 또는 고형화·고화 처리물, 폐촉매, 폐흡착제 및 폐흡수제, 폐유기용제(할로겐족, 그 밖의 폐유기용제), 폐페인트 및 폐래커, 폐유, 폐석면, 폴리클로리네이티드비페닐 함유폐기물, 폐유독물"
169,수집운반,남문개발㈜,경북 고령군 우곡면 우곡로 1156,054-956-0214,지정폐기물(고상)
170,수집운반,㈜뉴리소스,경북 경산시 자인면 일연로 130,053-710-0714,"지정폐기물[액상(폐유, 폐광물유, 폐유기용제)]"
171,수집운반,㈜한백에코개발,경북 경산시 남산면 성산로 410(경북 경산시 남산면 연하리 407),054-435-4343,지정폐기물(고상)
172,수집운반,㈜클린코리아 대구경북영업소,경북 경산시 자인면 공단로 144-11,053-818-8807,지정폐기물(액고상)
173,수집운반,㈜오엔환경,경북 영천시 천문로 588,054-332-6180,지정폐기물(액고상)
174,수집운반,조영산업,대구광역시 달성군 하빈면 하빈남로 374,053-592-1134,지정폐기물(고상)
175,수집운반,㈜에스엠환경개발,대구 달성군 화원읍 성암로16-40,053-631-2995,지정폐기물(고상)
176,수집운반,㈜레온특수,경북 고령군 개진면 성산로 284,054-956-8841,지정폐기물(액상)
177,수집운반,㈜다산특수,"경북 경산시 자인면 금박로 177, 2층",053-857-5192,지정폐기물(액상)
178,수집운반,㈜더뉴환경,경북 포항시 남구 연일읍 형산강남로436번길 27,054-253-0566,지정폐기물(액상)
179,수집운반,㈜환경코리아 칠곡지점,경북 칠곡군 약목면 경호천동길 74,054-977-3091,지정폐기물(액상)
180,수집운반,㈜우보,"경북 경산시 진량읍 금박로 488-20, 488-18",054-971-1040,"지정폐기물(고상), 지정폐기물(액상)[ 폐산, 폐알칼리, 폐유기용제, 폐페인트 및 폐락카, 폐광물유, 폐동식물유, 그 밖의 폐유]"
181,수집운반,㈜한결건설,경북 김천시 마잠4길 69-30,054-433-7227,"지정폐기물 고상[오니류, 광재, 분진, 폐주물사 및 샌드블라스트 폐사, 폐내화물 및 재벌구이 이전에 유약을 바른 도자기 조각, 소각재, 안정화 또는 고형화·고화처리물, 폐유성페인트, 폐수성페인트, 폐유, 폐석면]"
182,수집운반,세화환경,경북 영천시 금호읍 칠백로 736,054-332-7403,"지정폐기물(고상)[오니류, 폐페인트 및 폐락카, 폐유], 지정폐기물(액상)[폐유기용제, 폐페인트 및 폐락카, 폐유]"
183,수집운반,주식회사 그린다,경북 경주시 서면 갠버불길 98,054-0802-5464,"지정폐기물(고상)[지정폐기물 고상[폐합성고분자화합물, 오니류, 광재, 분진, 폐주물사 및 폐사, 폐내화물 및 폐도자기 조각, 폐페인트 및 폐락카, 폐유, 폐석면]]"
184,수집운반,주식회사 현대유앤아이,"경북 경산시 하양읍 하양로34, 2층 비-04호",053-781-7667,지정폐기물(액상)
185,수집운반,신아물류(주),경북 영천시 대창면 금박로 776-10,053-965-6691,지정폐기물(고상)
186,의료수집운반,㈜영남실업,경북 경산시 경안로30길 19(삼북동),053-813-5524,의료폐기물
187,의료수집운반,제일클린,경북 상주시 함창읍 함창로 379,054-532-3112,의료폐기물
188,의료수집운반,영포위생,"경북 포항시 남구 희망대로 751(상도동), 3층",054-281-0989,의료폐기물
189,의료수집운반,영동위생,경북 울진군 울진읍 읍내8길 27,054-783-8345,의료폐기물
190,의료수집운반,(주)경주환경,경북 경주시 안강읍 사방검단길 156-2(사방리),054-774-1224,의료폐기물
191,의료수집운반,(주)세명유니온,대구시 달성군 논공읍 노이1길 26,053-616-1337,의료폐기물
192,의료수집운반,E-라이프산업사,"경북 구미시 송동로 162(도량동), 202호",054-475-1573,의료폐기물
193,의료수집운반,에코탑,경북 구미시 4공단로 16길 18,054-472-5193,의료폐기물
194,의료수집운반,광명그린텍(주),대구시 북구 검단로 199(검단동),053-381-7587,의료폐기물
195,의료수집운반,파란환경,경북 경산시 진량읍 평사3길 35-2,053-981-2733,의료폐기물
196,의료수집운반,에이스환경산업,경북 경산시 자인면 서원천로 18(옥천리),053-851-6166,의료폐기물
197,의료수집운반,㈜에코비트에너지경주(구.㈜이에스지경주),경북 경주시 안강읍 두류길 178-1(두류리),054-763-0341,의료폐기물
198,의료수집운반,㈜에코,경북 경주시 안강읍 두류길 178-1(두류리),054-763-4555,의료폐기물
199,의료수집운반,(주)에버메디,"대구 달서구 문화회관길 145(장기동), 2층",053-585-0873,의료폐기물
200,의료수집운반,에버그린,경북 경산시 자인면 남촌2길 9-1(교촌리),053-856-0633,의료폐기물
201,의료수집운반,㈜지엘(구. ㈜에스엘디산업),경북 경산시 자인면 공단로 110-24(계림리),053-719-2852,의료폐기물
202,의료수집운반,대구의료공사,경북 영천시 대전강변길 55,054-338-0404,의료폐기물
203,의료수집운반,㈜세본환경,경북 칠곡군 동명면 금암동석 1길 3-1(금암리),054-972-8355,의료폐기물
204,의료수집운반,㈜소올환경,"대구 중구 중앙대로 440-2, 4층",053-762-1038,의료폐기물
205,의료수집운반,성화㈜,대구 달서구 장기로 374(장기동),053-611-4785,의료폐기물
206,의료수집운반,㈜참별환경,"대구 달성군 논공읍 상리 475-2 (우편주소 상이, 메모확인 요망)",053-267-9901,의료폐기물
207,의료수집운반,가람환경산업㈜,"경북 구미시 4공단로 405, 102호(금전동)",054-473-9979,의료폐기물
208,의료수집운반,㈜대경메디,대구 달성군 논공읍 금포로 65(금포리),053-611-7464,의료폐기물
209,의료수집운반,모아모아환경,경북 경주시 천북면 신당소티고개길 54-16(신당리),054-777-7070,의료폐기물
210,의료수집운반,디디에스메디크린,대구 북구 대불서길 56-3(산격동),별도문의,의료폐기물
211,의료수집운반,㈜스트레이트,대구시 수성구 달구벌대로489길 26(범어동),053-759-4142,의료폐기물
212,의료수집운반,엠에이치메디,대구광역시 북구 팔달동 222-1,053-761-5858,의료폐기물
213,의료수집운반,에코의료환경,"경북 포항시 북구 새마을로 71, 301호",054-253-8272,의료폐기물
214,의료수집운반,㈜리더스로지스환경,"경북 포항시 남구 해동로 72번길 12, 비동",054-281-7738,의료폐기물
215,중간처분(소각),네이처이앤티㈜(구.동양에코㈜),경북 포항시 남구 철강로492번길 49,054-271-3154,"폐합성고분자화합물, 오니류, 폐촉매, 폐흡착제 및 폐흡수제, 폐유기용제, 폐유, 그밖에 환경부장관이 정하여 고시하는 물질(30-00-00)"
216,중간처분(소각),주식회사 케이비아이국인산업(구.㈜국인산업),경북 구미시 3공단3로 46-79(시미동),054-473-1116,"폐합성수지,폐페인트및락카,폐유기용제,폐유,폐흡착제등"
217,중간처분(소각),"리뉴에너지경북주식회사(구. 경북환경에너지주식회사, ㈜이앤이)",경북 구미시 4공단로 44(구포동),054-475-4141,"폐합성고분자화합물,폐유,폐유기용제(비할로겐족), (일반폐기물 포함)"
218,중간처분(소각),"주식회사 에스피환경(구.주식회사 에스피네이처영천사업소, (주)네비엔영천사업소)",경북 영천시 도남공단3길 25,054-336-0280,"폐유(고상), 그 밖의 폐유기용제, 폐흡착제, 폐흡수제"
219,중간처분,신성비철산업,대구시 동구 안심로 347(각산동),053-963-8877,"PCBs 함유 폐기물(절연유의 PCBs 농도가 2ppm 이상 함유된 폐변압기, 폐콘덴서)"
220,중간처분,"영천켐 주식회사(구. 오케이테크, 구. 대기케미칼)",경북 영천시 칠백로 808-7,054-333-0555,"폐산(폐불산), 폐알카리"
221,중간처분,㈜에스에이치,대구 달서구 장기로 374(장기동),053-593-8118,"폐산, 폐알카리"
222,중간처분,㈜에스에이치테크놀러지[구. ㈜보광],경북 영천시 금호읍 오계공단길 1-55,053-241-5081,"폐산, 공정오니"
223,중간처분,㈜에스이,경북 구미시 장천면 장천상림3길 83,054-476-6303,공정오니
224,중간처분(소각),㈜에너지정세[구.㈜에코비트에너지정세(구.정세환경기술주식회사)],경북 경주시 안강읍 두류길 218-116,054-761-6767,"폐유(액, 고상), 그밖의폐유기용제(액, 고상)"
225,중간처분,㈜앤씨티,경북 영천시 청통면 용내길 67-32,054-336-8372,폐산(액상)
226,중간처분,㈜대성E.R.C,경북 칠곡군 지천면 칠곡대로 2040-107,054-972-0030,"사업장폐기물소각시설비산재, 그 밖의 공정오니"
227,중간처분,㈜녹색환경,경북 경주시 안강읍 두류길 208,054-762-6224~5,폐석면
228,중간처분,㈜금보머티리얼즈,경북 칠곡군 왜관읍 공단로13길 69-19,054-972-2022,그밖의폐산
229,의료중간처분,㈜에너지경산 [구.㈜에코비트에너지경산(구.㈜이에스지경산)],경북 경산시 진량읍 대구대로 355-26(평사리 513-1),053-857-0360,의료폐기물
230,의료중간처분,㈜씨케이(구. (주)아림환경),경북 고령군 다산면 다산산단로 54-58,054-956-7200,의료폐기물
231,의료중간처분,㈜에너지경주[구. ㈜에코비트에너지경주(구.㈜이에스지경주)],경북 경주시 안강읍 두류길 178-1,054-763-0341,의료폐기물
232,최종처분,네이처이앤티㈜(구.동양에코㈜),경북 포항시 남구 대송면 철강로492번길 49(옥명리 200-1),054-271-3154,지정폐기물
233,최종처분,"㈜그린밸리 구미지점(구.㈜이앤컴퍼니 구미지점, (주)케이엠그린 구미지점)",경북 구미시 산동면 송백로 398-90,054-476-8816,지정폐기물
234,최종처분,(주)포항그린(구.(주)그린바이로),경북 포항시 남구 대송면 송덕로 188(옥명리),054-277-8288,폐기물관리법 시행령〔별표1〕에 규정된 지정폐기물 중 매립가능 지정폐기물
235,최종처분,㈜구미그린(구.(주)에코이앤이),경북 구미시 4공단로 10길 56(금전동),054-715-5563,지정폐기물
236,최종처분,(주)지엠이앤씨,경북 성주군 성주읍 성주산업단지로1길 102,054-933-9611,지정폐기물
237,최종처분,리뉴랜드경주 주식회사(구.(주)와이에스텍),경북 경주시 강동면 강동산단로 1길 94-14,054-705-5800,지정폐기물
238,최종처분,"㈜에코랜드[구. ㈜제넨바이오경주지점, 구. ㈜케이디네이쳐엔바이오 경주지점(구. ㈜태양씨앤엘(구.㈜공감이앤티))]",경북 경주시 건천읍 용명공단길 173-160,054-751-6688,폐기물관리법 시행령〔별표1〕에 규정된 지정폐기물 중 매립가능 지정폐기물
239,최종처분,㈜양원이엔지,경북 고령군 성산면 동고령산단2길 77,054-956-7250,폐기물관리법 시행령〔별표1〕에 규정된 지정폐기물 중 매립가능 지정폐기물
