연번,관할청센터,업종,업체명,주소,대표전화,대상폐기물,보유장비,대수
182,여수센터,폐기물수집운반업,대성기업,전라남도 광양시 광양읍 읍내중앙길 39\_ 1층,061-763-0994,사업장폐기물 등,암롤트럭,2
183,여수센터,폐기물수집운반업,대성기업,전라남도 광양시 광양읍 읍내중앙길 39\_ 1층,061-763-0994,사업장폐기물 등,운반용압착차량,1
184,여수센터,폐기물수집운반업,대성기업,전라남도 광양시 광양읍 읍내중앙길 39\_ 1층,061-763-0994,사업장폐기물 등,집게차,1
185,여수센터,폐기물수집운반업,달선화물(주),전라남도 광양시 광양읍 인덕로 905,061-762-7702,사업장폐기물 등,덤프트럭,6
186,여수센터,폐기물수집운반업,달선화물(주),전라남도 광양시 광양읍 인덕로 905,061-762-7702,사업장폐기물 등,기타차량,1
187,여수센터,폐기물수집운반업,광진환경,전라남도 광양시 광양읍 예구7길 25-5,061-794-0052,사업장폐기물 등,암롤트럭,2
188,여수센터,폐기물수집운반업,광진환경,전라남도 광양시 광양읍 예구7길 25-5,061-794-0052,사업장폐기물 등,카고트럭,1
189,여수센터,폐기물수집운반업,광일종합물류(주),전라남도 광양시 백운1로 107 (태인동),061-792-3500,사업장폐기물 등,기타차량,4
190,여수센터,폐기물수집운반업,공성특수화물(주),전라남도 광양시 항만2로 166 (황길동),061-762-4700,사업장폐기물 등,기타차량,16
191,여수센터,폐기물수집운반업,공성특수화물(주),전라남도 광양시 항만2로 166 (황길동),061-762-4700,사업장폐기물 등,카고트럭,5
192,여수센터,폐기물수집운반업,공성특수화물(주),전라남도 광양시 항만2로 166 (황길동),061-762-4700,사업장폐기물 등,덤프트럭,5
193,여수센터,폐기물수집운반업,공성특수화물(주),전라남도 광양시 항만2로 166 (황길동),061-762-4700,사업장폐기물 등,암롤트럭,3
194,여수센터,폐기물수집운반업,건평개발(주),전라남도 광양시 광양읍 백운로 378,061-762-6976,사업장폐기물 등,덤프트럭,10
195,여수센터,폐기물수집운반업,가야환경,전라남도 광양시 옥정로 93-34 (성황동),061-791-7949,사업장폐기물 등,카고트럭,1
196,여수센터,폐기물수집운반업,가야환경,전라남도 광양시 옥정로 93-34 (성황동),061-791-7949,사업장폐기물 등,암롤트럭,4
197,여수센터,폐기물수집운반업,가야환경,전라남도 광양시 옥정로 93-34 (성황동),061-791-7949,사업장폐기물 등,집게차,1
198,여수센터,폐기물수집운반업,가야이엔티,전라남도 광양시 군장길 314-9 (중군동),,사업장폐기물 등,암롤트럭,1
199,여수센터,폐기물수집운반업,가야이엔티,전라남도 광양시 군장길 314-9 (중군동),,사업장폐기물 등,진개차,1
200,여수센터,폐기물수집운반업,(주)효원산업,전라남도 광양시 옥곡면 옥진로 197,061-772-5500,사업장폐기물 등,암롤트럭,4
201,여수센터,폐기물수집운반업,(주)효원산업,전라남도 광양시 옥곡면 옥진로 197,061-772-5500,사업장폐기물 등,기타차량,1
202,여수센터,폐기물중간재활용업,(주)효석,전라남도 광양시 제철로 2148-33 (금호동),061-793-7300,사업장폐기물 등,덤프트럭,2
203,여수센터,폐기물수집운반업,(주)혜성티앤시,전라남도 광양시 명당3길 5 (태인동),061-792-1500,사업장폐기물 등,기타차량,4
204,여수센터,폐기물수집운반업,(주)혜성티앤시,전라남도 광양시 명당3길 5 (태인동),061-792-1500,사업장폐기물 등,덤프트럭,15
205,여수센터,폐기물수집운반업,(주)혜성티앤시,전라남도 광양시 명당3길 5 (태인동),061-792-1500,사업장폐기물 등,밀폐식차량,8
206,여수센터,폐기물수집운반업,(주)혜성티앤시,전라남도 광양시 명당3길 5 (태인동),061-792-1500,사업장폐기물 등,카고트럭,1
207,여수센터,폐기물수집운반업,(주)혜성티앤시,전라남도 광양시 명당3길 5 (태인동),061-792-1500,사업장폐기물 등,집게차,1
208,여수센터,폐기물중간재활용업,(주)현이네사람들,전라남도 광양시 광양읍 직동2길 7,,사업장폐기물 등,기타차량,1
209,여수센터,폐기물종합재활용업,(주)현대이엔티,전라남도 광양시 옥곡면 신금산단2길 38,061-772-7272,사업장폐기물 등,암롤트럭,1
210,여수센터,폐기물종합재활용업,(주)현대이엔티,전라남도 광양시 옥곡면 신금산단2길 38,061-772-7272,사업장폐기물 등,집게차,1
211,여수센터,폐기물종합재활용업,(주)피제이메탈,전라남도 광양시 명당2길 42 (태인동),061-792-3155,사업장폐기물 등,기계식상차장치부착차량,1
212,여수센터,폐기물수집운반업,(주)푸른세상,전라남도 광양시 광양읍 인덕4길 9-8,,사업장폐기물 등,밀폐식차량,2
213,여수센터,폐기물수집운반업,(주)포운,전라남도 광양시 명당6길 6 (태인동),061-760-8347,사업장폐기물 등,덤프트럭,21
214,여수센터,폐기물수집운반업,(주)포운,전라남도 광양시 명당6길 6 (태인동),061-760-8347,사업장폐기물 등,기타차량,8
215,여수센터,폐기물수집운반업,(주)포운,전라남도 광양시 명당6길 6 (태인동),061-760-8347,사업장폐기물 등,밀폐식차량,1
216,여수센터,폐기물수집운반업,(주)포운,전라남도 광양시 명당6길 6 (태인동),061-760-8347,사업장폐기물 등,기계식상차장치부착차량,2
217,여수센터,폐기물수집운반업,(주)태운,전라남도 광양시 제철로 2148-97 (금호동),061-794-8197,사업장폐기물 등,밀폐식차량,1
218,여수센터,폐기물수집운반업,(주)태운,전라남도 광양시 제철로 2148-97 (금호동),061-794-8197,사업장폐기물 등,기타차량,5
219,여수센터,폐기물수집운반업,(주)태운,전라남도 광양시 제철로 2148-97 (금호동),061-794-8197,사업장폐기물 등,덤프트럭,17
220,여수센터,폐기물수집운반업,(주)태성산업,전라남도 광양시 진월면 백운1로 576,061-792-3070,사업장폐기물 등,기타차량,4
221,여수센터,폐기물수집운반업,(주)태성산업,전라남도 광양시 진월면 백운1로 576,061-792-3070,사업장폐기물 등,덤프트럭,4
222,여수센터,폐기물수집운반업,(주)태광산업개발,전라남도 광양시 중마로 560\_ 3층 (중동),061-792-0062,사업장폐기물 등,덤프트럭,10
223,여수센터,폐기물수집운반업,(주)케이알로지스,전라남도 광양시 항만11로 32\_ 3층 2호 (중동),061-792-4791,사업장폐기물 등,기타차량,14
224,여수센터,폐기물수집운반업,(주)지제이산업,전라남도 광양시 아미2길 38 (중동),061-795-5556,사업장폐기물 등,덤프트럭,2
225,여수센터,폐기물수집운반업,(주)지유,전라남도 광양시 항만11로 32\_ 3층 1호 (중동),061-795-9971,사업장폐기물 등,덤프트럭,2
226,여수센터,폐기물수집운반업,(주)중원로지스,전라남도 광양시 용지길 8 (태인동),061-795-4300,사업장폐기물 등,카고트럭,3
227,여수센터,폐기물수집운반업,(주)중원로지스,전라남도 광양시 용지길 8 (태인동),061-795-4300,사업장폐기물 등,기타차량,14
228,여수센터,폐기물수집운반업,(주)중원로지스,전라남도 광양시 용지길 8 (태인동),061-795-4300,사업장폐기물 등,덤프트럭,11
229,여수센터,폐기물수집운반업,(주)중원로지스,전라남도 광양시 용지길 8 (태인동),061-795-4300,사업장폐기물 등,밀폐식차량,1
230,여수센터,폐기물수집운반업,(주)조은환경,전라남도 광양시 광양읍 초남2공단길 19,061-762-1114,사업장폐기물 등,암롤트럭,2
231,여수센터,폐기물수집운반업,(주)조은환경,전라남도 광양시 광양읍 초남2공단길 19,061-762-1114,사업장폐기물 등,집게차,1
232,여수센터,폐기물수집운반업,(주)조은환경,전라남도 광양시 광양읍 초남2공단길 19,061-762-1114,사업장폐기물 등,기계식상차장치부착차량,2
233,여수센터,폐기물수집운반업,(주)조은환경,전라남도 광양시 광양읍 초남2공단길 19,061-762-1114,사업장폐기물 등,카고트럭,1
234,여수센터,폐기물수집운반업,(주)제이스,전라남도 광양시 광양읍 인덕로 1193,061-762-6755,사업장폐기물 등,기계식상차장치부착차량,1
235,여수센터,폐기물수집운반업,(주)제이스,전라남도 광양시 광양읍 인덕로 1193,061-762-6755,사업장폐기물 등,기타차량,1
236,여수센터,폐기물수집운반업,(주)이엔산업,전라남도 광양시 옥정로 76 (성황동),061-792-5960,사업장폐기물 등,암롤트럭,6
237,여수센터,폐기물수집운반업,(주)은혜,전라남도 광양시 광양읍 초남2공단2길 21,061-762-8252,사업장폐기물 등,집게차,3
238,여수센터,폐기물수집운반업,(주)은혜,전라남도 광양시 광양읍 초남2공단2길 21,061-762-8252,사업장폐기물 등,기타차량,3
239,여수센터,폐기물수집운반업,(주)은혜,전라남도 광양시 광양읍 초남2공단2길 21,061-762-8252,사업장폐기물 등,암롤트럭,2
240,여수센터,폐기물수집운반업,(주)은혜,전라남도 광양시 광양읍 초남2공단2길 21,061-762-8252,사업장폐기물 등,카고트럭,1
241,여수센터,폐기물수집운반업,(주)유빛,전라남도 광양시 옥곡면 신금산단4길 21,061-772-7211,사업장폐기물 등,덤프트럭,4
242,여수센터,폐기물수집운반업,(주)온유,전라남도 광양시 광영로 32\_ 203호 (광영동\_ 대아상가연립주택),,사업장폐기물 등,덤프트럭,2
243,여수센터,폐기물수집운반업,(주)에코로지스틱스,전라남도 광양시 태인2길 69\_ 주식회사에코쉘 (태인동),061-795-7655,사업장폐기물 등,덤프트럭,2
244,여수센터,폐기물종합재활용업,(주)에이치비에너지,전라남도 광양시 장길로 25 (황금동),,사업장폐기물 등,기타차량,1
245,여수센터,폐기물수집운반업,(주)에스비코리아,전라남도 광양시 광양읍 덕산5길 45,061-791-7701,사업장폐기물 등,덤프트럭,1
246,여수센터,폐기물수집운반업,(주)에스비코리아,전라남도 광양시 광양읍 덕산5길 45,061-791-7701,사업장폐기물 등,기타차량,2
247,여수센터,폐기물수집운반업,(주)신한로지스,전라남도 광양시 광영로 57 (광영동),061-795-6361,사업장폐기물 등,덤프트럭,4
248,여수센터,폐기물수집운반업,(주)신광이엔씨,전라남도 광양시 백운로 996 (성황동),061-795-2990,사업장폐기물 등,기타차량,2
249,여수센터,폐기물수집운반업,(주)솔로지스틱스,전라남도 광양시 항만7로 6 (도이동),061-763-8387,사업장폐기물 등,기타차량,3
250,여수센터,폐기물수집운반업,(주)세풍자연환경,전라남도 광양시 광양읍 인서6길 9,061-761-0022,사업장폐기물 등,암롤트럭,2
251,여수센터,폐기물수집운반업,(주)세풍자연환경,전라남도 광양시 광양읍 인서6길 9,061-761-0022,사업장폐기물 등,기타차량,1
252,여수센터,폐기물수집운반업,(주)세풍자연환경,전라남도 광양시 광양읍 인서6길 9,061-761-0022,사업장폐기물 등,진개차,1
253,여수센터,폐기물수집운반업,(주)세종로지스,전라남도 광양시 용지길 10 (태인동),061-791-8526,사업장폐기물 등,덤프트럭,5
254,여수센터,폐기물수집운반업,(주)세인물류,전라남도 광양시 용지길 10 (태인동),061-793-8004,사업장폐기물 등,덤프트럭,6
255,여수센터,폐기물수집운반업,(주)세인,전라남도 광양시 항만13로 23-7\_ 201호 (중동),061-793-5005,사업장폐기물 등,덤프트럭,3
256,여수센터,폐기물수집운반업,(주)세운,전라남도 광양시 광양읍 읍성길 174,061-763-3033,사업장폐기물 등,밀폐식차량,2
257,여수센터,폐기물수집운반업,(주)세운,전라남도 광양시 광양읍 읍성길 174,061-763-3033,사업장폐기물 등,기타차량,6
258,여수센터,폐기물수집운반업,(주)성주기업,전라남도 광양시 옥곡면 강변로 251 (대륙주유소),061-772-9956,사업장폐기물 등,덤프트럭,10
259,여수센터,폐기물수집운반업,(주)성윤,전라남도 광양시 제철로 1706 (금호동),061-795-8005,사업장폐기물 등,카고트럭,6
260,여수센터,폐기물수집운반업,(주)성윤,전라남도 광양시 제철로 1706 (금호동),061-795-8005,사업장폐기물 등,기타차량,22
261,여수센터,폐기물수집운반업,(주)성윤,전라남도 광양시 제철로 1706 (금호동),061-795-8005,사업장폐기물 등,덤프트럭,29
262,여수센터,폐기물수집운반업,(주)성윤,전라남도 광양시 제철로 1706 (금호동),061-795-8005,사업장폐기물 등,밀폐식차량,1
263,여수센터,폐기물수집운반업,(주)성광기업,전라남도 광양시 도촌길 13-3 (광영동),061-792-9971,사업장폐기물 등,덤프트럭,2
264,여수센터,폐기물수집운반업,(주)서진기업,전라남도 광양시 백운1로 57 (태인동),061-795-0228,사업장폐기물 등,기타차량,4
265,여수센터,폐기물수집운반업,(주)서진기업,전라남도 광양시 백운1로 57 (태인동),061-795-0228,사업장폐기물 등,덤프트럭,1
266,여수센터,폐기물수집운반업,(주)삼도물류,전라남도 광양시 광양읍 희양현로 87,061-761-1467,사업장폐기물 등,기타차량,8
267,여수센터,폐기물수집운반업,(주)벽진,전라남도 광양시 옥곡면 옥정로 347,061-772-9646,사업장폐기물 등,기타차량,10
268,여수센터,폐기물수집운반업,(주)벽진,전라남도 광양시 옥곡면 옥정로 347,061-772-9646,사업장폐기물 등,덤프트럭,8
269,여수센터,폐기물수집운반업,(주)백운환경,전라남도 광양시 봉강면 매천로 633-5,061-762-9220,사업장폐기물 등,암롤트럭,6
270,여수센터,폐기물수집운반업,(주)백운환경,전라남도 광양시 봉강면 매천로 633-5,061-762-9220,사업장폐기물 등,기계식상차장치부착차량,1
271,여수센터,폐기물수집운반업,(주)백운환경,전라남도 광양시 봉강면 매천로 633-5,061-762-9220,사업장폐기물 등,운반용압착차량,1
272,여수센터,폐기물수집운반업,(주)바렉코퍼레이션,전라남도 광양시 옥정로 93-44 (성황동),,사업장폐기물 등,덤프트럭,2
273,여수센터,폐기물수집운반업,(주)매니지환경,전라남도 광양시 광양읍 직동1길 229,061-762-2227,사업장폐기물 등,암롤트럭,4
274,여수센터,폐기물수집운반업,(주)매니지환경,전라남도 광양시 광양읍 직동1길 229,061-762-2227,사업장폐기물 등,기타차량,1
275,여수센터,폐기물수집운반업,(주)매니지환경,전라남도 광양시 광양읍 직동1길 229,061-762-2227,사업장폐기물 등,운반용압착차량,1
276,여수센터,폐기물수집운반업,(주)마루기업,전라남도 광양시 제철로 1134 (황길동),061-792-8111,사업장폐기물 등,덤프트럭,6
277,여수센터,폐기물수집운반업,(주)마래이엔티,전라남도 광양시 광양읍 제철로 395-2,061-761-7783,사업장폐기물 등,덤프트럭,6
278,여수센터,폐기물수집운반업,(주)디에이치운송,전라남도 광양시 김시식지1길 57-63\_ 2층 (태인동),,사업장폐기물 등,덤프트럭,2
279,여수센터,폐기물수집운반업,(주)동후,전라남도 광양시 폭포사랑길 20-26 (금호동),061-760-8565,사업장폐기물 등,기타차량,2
280,여수센터,폐기물종합재활용업,(주)더함자원,전라남도 광양시 옥정로 93-28 (성황동),,사업장폐기물 등,기계식상차장치부착차량,1
281,여수센터,폐기물종합재활용업,(주)더함자원,전라남도 광양시 옥정로 93-28 (성황동),,사업장폐기물 등,기타차량,1
282,여수센터,폐기물종합재활용업,(주)더함자원,전라남도 광양시 옥정로 93-28 (성황동),,사업장폐기물 등,카고트럭,1
283,여수센터,폐기물수집운반업,(주)대한산업,전라남도 광양시 길호5길 14\_ 102호 (중동),,사업장폐기물 등,덤프트럭,7
284,여수센터,폐기물수집운반업,(주)대한물류,전라남도 광양시 항만9로 148\_ 2층 (중동),061-772-9005,사업장폐기물 등,덤프트럭,2
285,여수센터,폐기물수집운반업,(주)대원특수,전라남도 광양시 진월면 백운1로 532,061-794-8458,사업장폐기물 등,기타차량,14
286,여수센터,폐기물수집운반업,(주)대원특수,전라남도 광양시 진월면 백운1로 532,061-794-8458,사업장폐기물 등,덤프트럭,4
287,여수센터,폐기물수집운반업,(주)대원이엔티,전라남도 광양시 광양읍 직동1길 24,061-772-8700,사업장폐기물 등,암롤트럭,6
288,여수센터,폐기물수집운반업,(주)대원이엔티,전라남도 광양시 광양읍 직동1길 24,061-772-8700,사업장폐기물 등,기계식상차장치부착차량,1
289,여수센터,폐기물수집운반업,(주)대원이엔티,전라남도 광양시 광양읍 직동1길 24,061-772-8700,사업장폐기물 등,암롤트럭,4
290,여수센터,폐기물수집운반업,(주)대원이엔티,전라남도 광양시 광양읍 직동1길 24,061-772-8700,사업장폐기물 등,운반용압착차량,1
291,여수센터,폐기물수집운반업,(주)대원이엔티,전라남도 광양시 광양읍 직동1길 24,061-772-8700,사업장폐기물 등,기타차량,1
292,여수센터,폐기물수집운반업,(주)대웅,전라남도 광양시 태인길 18 (태인동),061-792-0209,사업장폐기물 등,기타차량,1
293,여수센터,폐기물수집운반업,(주)대웅,전라남도 광양시 태인길 18 (태인동),061-792-0209,사업장폐기물 등,집게차,1
294,여수센터,폐기물수집운반업,(주)대영기업,전라남도 광양시 진월면 백운1로 526,061-772-7901,사업장폐기물 등,덤프트럭,2
295,여수센터,폐기물수집운반업,(주)대광,전라남도 광양시 태인5길 7 (태인동),061-792-7000,사업장폐기물 등,덤프트럭,6
296,여수센터,폐기물수집운반업,(주)대광,전라남도 광양시 태인5길 7 (태인동),061-792-7000,사업장폐기물 등,밀폐식차량,1
297,여수센터,폐기물수집운반업,(주)남진환경,전라남도 광양시 제철로 637 (황금동),061-794-3400,사업장폐기물 등,암롤트럭,3
298,여수센터,폐기물수집운반업,(주)남진환경,전라남도 광양시 제철로 637 (황금동),061-794-3400,사업장폐기물 등,카고트럭,1
299,여수센터,폐기물수집운반업,(주)남진환경,전라남도 광양시 제철로 637 (황금동),061-794-3400,사업장폐기물 등,기계식상차장치부착차량,1
300,여수센터,폐기물수집운반업,(주)남진환경,전라남도 광양시 제철로 637 (황금동),061-794-3400,사업장폐기물 등,기타차량,1
301,여수센터,폐기물종합재활용업,(주)금홍,전라남도 광양시 광양읍 초남2공단2길 70,061-761-1558,사업장폐기물 등,기타차량,14
302,여수센터,폐기물수집운반업,(주)금호,전라남도 광양시 중마청룡길 6 (중동),061-792-8234,사업장폐기물 등,밀폐식차량,1
303,여수센터,폐기물수집운반업,(주)금호,전라남도 광양시 중마청룡길 6 (중동),061-792-8234,사업장폐기물 등,기계식상차장치부착차량,1
304,여수센터,폐기물수집운반업,(주)그린이엔지,전라남도 광양시 광양읍 인덕4길 17,061-762-8869,사업장폐기물 등,기타차량,1
305,여수센터,폐기물수집운반업,(주)그린이엔지,전라남도 광양시 광양읍 인덕4길 17,061-762-8869,사업장폐기물 등,카고트럭,1
306,여수센터,폐기물수집운반업,(주)광양환경공사,전라남도 광양시 광양읍 유당로 35,061-761-0067,사업장폐기물 등,운반용압착차량,15
307,여수센터,폐기물수집운반업,(주)광양환경공사,전라남도 광양시 광양읍 유당로 35,061-761-0067,사업장폐기물 등,밀폐식차량,9
308,여수센터,폐기물수집운반업,(주)광양환경공사,전라남도 광양시 광양읍 유당로 35,061-761-0067,사업장폐기물 등,기타차량,3
309,여수센터,폐기물수집운반업,(주)광양환경공사,전라남도 광양시 광양읍 유당로 35,061-761-0067,사업장폐기물 등,덤프트럭,9
310,여수센터,폐기물수집운반업,(주)광양환경공사,전라남도 광양시 광양읍 유당로 35,061-761-0067,사업장폐기물 등,진개차,3
311,여수센터,폐기물수집운반업,(주)광양환경공사,전라남도 광양시 광양읍 유당로 35,061-761-0067,사업장폐기물 등,암롤트럭,1
312,여수센터,폐기물수집운반업,(주)광양환경공사,전라남도 광양시 광양읍 유당로 35,061-761-0067,사업장폐기물 등,집게차,1
313,여수센터,폐기물수집운반업,(주)광양환경,전라남도 광양시 광양읍 직동1길 13,061-762-8259,사업장폐기물 등,기타차량,2
314,여수센터,폐기물종합재활용업,(주)광양이엔에스,전라남도 광양시 옥정로 93-42 (성황동),061-795-9275,사업장폐기물 등,밀폐식차량,1
315,여수센터,폐기물수집운반업,(주)광양기업,전라남도 광양시 삼봉산로 10 (태인동),061-798-4001,사업장폐기물 등,기타차량,13
316,여수센터,폐기물수집운반업,(주)광양기업,전라남도 광양시 삼봉산로 10 (태인동),061-798-4001,사업장폐기물 등,운반용압착차량,3
317,여수센터,폐기물수집운반업,(주)광양기업,전라남도 광양시 삼봉산로 10 (태인동),061-798-4001,사업장폐기물 등,암롤트럭,4
318,여수센터,폐기물수집운반업,(주)광양기업,전라남도 광양시 삼봉산로 10 (태인동),061-798-4001,사업장폐기물 등,카고트럭,1
319,여수센터,폐기물수집운반업,(주)광양기업,전라남도 광양시 삼봉산로 10 (태인동),061-798-4001,사업장폐기물 등,덤프트럭,4
320,여수센터,폐기물수집운반업,(주)경진물류,전라남도 광양시 중마로 15\_ 내트럭하우스 210호 (도이동),061-791-2041,사업장폐기물 등,덤프트럭,4
321,여수센터,폐기물수집운반업,(주)경진물류,전라남도 광양시 중마로 15\_ 내트럭하우스 210호 (도이동),061-791-2041,사업장폐기물 등,카고트럭,2
322,여수센터,폐기물수집운반업,(주)경진물류,전라남도 광양시 중마로 15\_ 내트럭하우스 210호 (도이동),061-791-2041,사업장폐기물 등,기타차량,1
323,여수센터,폐기물수집운반업,(주)거우,전라남도 광양시 광포3길 3 (광영동),061-794-2334,사업장폐기물 등,덤프트럭,2
324,여수센터,폐기물수집운반업,(주)HR-PORT,전라남도 광양시 제철로 1655-251\_ 포스코해운센터 D동 3호 (금호동),061-792-3437,사업장폐기물 등,운반용압착차량,1
325,여수센터,폐기물수집운반업,(주)HR-PORT,전라남도 광양시 제철로 1655-251\_ 포스코해운센터 D동 3호 (금호동),061-792-3437,사업장폐기물 등,암롤트럭,1
326,여수센터,폐기물수집운반업,(유)한신특수,전라남도 광양시 진월면 백운1로 477\_ 2층,,사업장폐기물 등,기타차량,14
327,여수센터,폐기물수집운반업,(유)청아특수,전라남도 광양시 옥곡면 신금산단5길 61\_ 3층,061-772-5135,사업장폐기물 등,기타차량,8
328,여수센터,폐기물수집운반업,(유)제후기업,전라남도 광양시 사동로 5 (중동),,사업장폐기물 등,덤프트럭,2
329,여수센터,폐기물수집운반업,(유)우성통운,전라남도 광양시 삼봉산로 29 (태인동),061-791-4410,사업장폐기물 등,기타차량,2
330,여수센터,폐기물수집운반업,(유)신한성,전라남도 광양시 광양읍 초남공단1길 23,061-762-7080,사업장폐기물 등,콘테이너트럭,5
331,여수센터,폐기물수집운반업,(유)신성물류산업,전라남도 광양시 중마로 35\_ 2층 (중동),,사업장폐기물 등,밀폐식차량,1
332,여수센터,폐기물수집운반업,(유)신성물류산업,전라남도 광양시 중마로 35\_ 2층 (중동),,사업장폐기물 등,카고트럭,1
333,여수센터,폐기물수집운반업,(유)세림상운,전라남도 광양시 옥곡면 옥정로 347\_ 3층,061-792-5709,사업장폐기물 등,기타차량,12
334,여수센터,폐기물수집운반업,(유)세림상운,전라남도 광양시 옥곡면 옥정로 347\_ 3층,061-792-5709,사업장폐기물 등,덤프트럭,57
335,여수센터,폐기물수집운반업,(유)세림상운,전라남도 광양시 옥곡면 옥정로 347\_ 3층,061-792-5709,사업장폐기물 등,덤프트럭,9
336,여수센터,폐기물수집운반업,(유)마로현로지스,전라남도 광양시 태인4길 33\_ ㈜대한통운 (태인동),,사업장폐기물 등,덤프트럭,2
337,여수센터,폐기물 수집·운반업체,수인환경,경상남도 남해군 고현면 남해대로 3047\_ 1동 1층 2호,055-864-2927,"폐합성수지, 폐합성섬유(고상) 등",카고트럭,4대
338,여수센터,폐기물 수집·운반업체,(주)에코,경상남도 남해군 남해읍 에코파크길 81-23\_ 102호호,055-862-2414,"폐합성수지, 폐합성고무, 폐패각 등",암롤트럭,1대
339,여수센터,폐기물 수집·운반업체,(주)에코,경상남도 남해군 남해읍 에코파크길 81-23\_ 102호호,055-862-2414,"폐합성수지, 폐합성고무, 폐패각 등",카고트럭,2대
340,여수센터,폐기물 수집·운반업체,(주)에코,경상남도 남해군 남해읍 에코파크길 81-23\_ 102호호,055-862-2414,"폐합성수지, 폐합성고무, 폐패각 등",기계식상차장치부착차량,2대
341,여수센터,폐기물 수집·운반업체,(주)브이앤이,경상남도 남해군 남해읍 에코파크길 65-10,055-864-7575,"하수처리오니, 음식물류폐기물, 폐수처리오니",덤프트럭,2대
342,여수센터,폐기물 수집·운반업체,삼일환경,경상남도 남해군 남해읍 북변리 5-47,055-862-8940,"폐합성수지, 폐어망, 폐패각, 임목폐목재 등",기계식상차장치부착차량,3대
343,여수센터,폐기물 수집·운반업체,삼일환경,경상남도 남해군 남해읍 북변리 5-47,055-862-8940,"폐합성수지, 폐어망, 폐패각, 임목폐목재 등",암롤트럭,1대
344,여수센터,폐기물 수집·운반업체,삼일환경,경상남도 남해군 남해읍 북변리 5-47,055-862-8940,"폐합성수지, 폐어망, 폐패각, 임목폐목재 등",밀폐식차량,1대
345,여수센터,폐기물 수집·운반업체,남해자원,경상남도 남해군 남해읍 에코파크길 31,055-864-5859,"폐합성수지류, 폐패각, 폐목재류",기계식상차장치부착차량,2대
346,여수센터,폐기물 수집·운반업체,남해자원,경상남도 남해군 남해읍 에코파크길 31,055-864-5859,"폐합성수지류, 폐패각, 폐목재류",암롤트럭,1대
347,여수센터,폐기물 수집·운반업체,남해자원,경상남도 남해군 남해읍 에코파크길 31,055-864-5859,"폐합성수지류, 폐패각, 폐목재류",카고트럭,1대
348,여수센터,폐기물 중간처리업체,(주)브이앤이,경상남도 남해군 남해읍 에코파크길 65-10,055-864-7575,"하수처리오니, 음식물류 폐기물",밀폐식차량,1대
349,여수센터,폐기물 중간처리업체,(주)브이앤이,경상남도 남해군 남해읍 에코파크길 65-10,055-864-7575,"하수처리오니, 음식물류 폐기물",카고트럭,2대
350,여수센터,폐기물 중간처리업체,(주)브이앤이,경상남도 남해군 남해읍 에코파크길 65-10,055-864-7575,"하수처리오니, 음식물류 폐기물",밀폐식차량,4대
351,여수센터,폐기물 중간처리업체,보물섬환경,경상남도 남해군 남해읍 에코파크길 29,055-864-5859,"폐목재, 폐합성수지, 폐판넬, 임목폐목재, 폐어망 등",암롤트럭,2대
352,여수센터,폐기물 중간처리업체,보물섬환경,경상남도 남해군 남해읍 에코파크길 29,055-864-5859,"폐목재, 폐합성수지, 폐판넬, 임목폐목재, 폐어망 등",집게차,1대
353,여수센터,중장비 업체,㈜한려종합중기,"경상남도 남해군 남해읍 화전로 154, 101동 203호",055-864-5105,,덤프트럭,15대
354,여수센터,중장비 업체,㈜한려종합중기,"경상남도 남해군 남해읍 화전로 154, 101동 203호",055-864-5105,,굴삭기,180대
355,여수센터,중장비 업체,㈜한려종합중기,"경상남도 남해군 남해읍 화전로 154, 101동 203호",055-864-5105,,로더,1대
356,여수센터,중장비 업체,㈜한려종합중기,"경상남도 남해군 남해읍 화전로 154, 101동 203호",055-864-5105,,지게차,10대
357,여수센터,중장비 업체,㈜한려종합중기,"경상남도 남해군 남해읍 화전로 154, 101동 203호",055-864-5105,,불도저,1대
358,여수센터,중장비 업체,㈜초원환경,경상남도 남해군 고현면 남해대로 3243-26,055-864-7460,,굴삭기,2대
359,여수센터,중장비 업체,㈜초원환경,경상남도 남해군 고현면 남해대로 3243-26,055-864-7460,,로더,2대
360,여수센터,중장비 업체,㈜초원환경,경상남도 남해군 고현면 남해대로 3243-26,055-864-7460,,덤프트럭,8대
361,여수센터,중장비 업체,남해건설협동조합,경상남도 남해군 남해읍 남해대로 2981-13,055-863-4563,,굴삭기,1대
362,여수센터,중장비 업체,남해건설협동조합,경상남도 남해군 남해읍 남해대로 2981-13,055-863-4563,,로더,1대
363,여수센터,중장비 업체,남해건설협동조합,경상남도 남해군 남해읍 남해대로 2981-13,055-863-4563,,지게차,1대
364,여수센터,중장비 업체,남해건설협동조합,경상남도 남해군 남해읍 남해대로 2981-13,055-863-4563,,덤프트럭,1대
365,여수센터,중장비 협회,순천건설기계연합회,-,061-723-3666,,크레인,300대
366,여수센터,중장비 협회,순천건설기계연합회,-,061-723-3666,,덤프,300대
367,여수센터,생활폐기물 수집운반업,백진환경합자회사,전라남도 순천시 대룡길 10 (대룡동),061-742-6701,폐합성수지 등,암롤트럭,1대
368,여수센터,생활폐기물 수집운반업,백진환경합자회사,전라남도 순천시 대룡길 11 (대룡동),061-742-6702,폐합성수지 등,밀폐식차량,4대
