연번,설치장소,산단·고속도로,주소,관리주체,방재장비,단위,컨테이너장비함,간이방재함,계,연락망
11-13,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,톱밥(40kg),포,-,-,10,-
11-14,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,팽창질석(9kg),포,-,-,3,-
11-15,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,눈삽,EA,-,-,1,-
11-16,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,빗자루,EA,-,-,1,-
11-17,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,쓰레받이,EA,-,-,1,-
11-18,옥곡 톨게이트 인근,-,전남 광양시 옥곡면 강변로 434-37,여수센터,양동이 또는 쓰레기통,EA,-,-,1,-
12-1,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,화학물질흡착포(붐형 大),BOX,-,-,1,-
12-2,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,화학물질흡착포(붐형),BOX,-,-,4,-
12-3,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,화학물질흡착포(필로우형),BOX,-,-,3,-
12-4,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,화학물질흡착포(패드형,BOX,-,-,6,-
12-5,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,유류 흡착포,BOX,-,-,2,-
12-6,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,화학보호복,EA,-,-,5,-
12-7,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,내산장갑,EA,-,-,5,-
12-8,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,내화학장갑,EA,-,-,5,-
12-9,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,전면형 방독면,EA,-,-,5,-
12-10,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,정화통,EA,-,-,5,-
12-11,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,면장갑,EA,-,-,1,-
12-12,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,모래주머니(4kg),포,-,-,100,-
12-13,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,톱밥(40kg),포,-,-,20,-
12-14,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,팽창질석(9kg),포,-,-,3,-
12-15,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,눈삽,EA,-,-,1,-
12-16,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,빗자루,EA,-,-,1,-
12-17,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,쓰레받이,EA,-,-,1,-
12-18,산곡-대포터널 인근,-,전남 여수시 율촌면 신풍리 산106-1,여수센터,양동이 또는 쓰레기통,EA,-,-,1,-
13-1,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,화학물질흡착포(붐형 大),BOX,-,-,1,-
13-2,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,화학물질흡착포(붐형),BOX,-,-,4,-
13-3,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,화학물질흡착포(필로우형),BOX,-,-,3,-
13-4,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,화학물질흡착포(패드형,BOX,-,-,6,-
13-5,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,유류 흡착포,BOX,-,-,2,-
13-6,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,화학보호복,EA,-,-,5,-
13-7,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,내산장갑,EA,-,-,5,-
13-8,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,내화학장갑,EA,-,-,5,-
13-9,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,전면형 방독면,EA,-,-,5,-
13-10,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,정화통,EA,-,-,5,-
13-11,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,면장갑,EA,-,-,1,-
13-12,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,모래주머니(4kg),포,-,-,100,-
13-13,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,톱밥(40kg),포,-,-,20,-
13-14,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,팽창질석(9kg),포,-,-,3,-
13-15,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,눈삽,EA,-,-,1,-
13-16,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,빗자루,EA,-,-,1,-
13-17,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,쓰레받이,EA,-,-,1,-
13-18,광양항 컨테이너 부두 인근,-,전남 광양시 도이동 782,여수센터,양동이 또는 쓰레기통,EA,-,-,1,-
14-1,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,화학물질흡착포(붐형 大),BOX,-,-,1,-
14-2,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,화학물질흡착포(붐형),BOX,-,-,4,-
14-3,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,화학물질흡착포(필로우형),BOX,-,-,3,-
14-4,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,화학물질흡착포(패드형,BOX,-,-,6,-
14-5,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,유류 흡착포,BOX,-,-,2,-
14-6,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,화학보호복,EA,-,-,5,-
14-7,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,내산장갑,EA,-,-,5,-
14-8,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,내화학장갑,EA,-,-,5,-
14-9,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,전면형 방독면,EA,-,-,5,-
14-10,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,정화통,EA,-,-,5,-
14-11,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,면장갑,EA,-,-,1,-
14-12,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,모래주머니(4kg),포,-,-,100,-
14-13,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,톱밥(40kg),포,-,-,20,-
14-14,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,팽창질석(9kg),포,-,-,3,-
14-15,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,눈삽,EA,-,-,1,-
14-16,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,빗자루,EA,-,-,1,-
14-17,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,쓰레받이,EA,-,-,1,-
14-18,묘도 휴게소 인근,-,전남 광양시 묘도7길 110,여수센터,양동이 또는 쓰레기통,EA,-,-,1,-
15-1,동전주영업소,-,전북특별자치도 전주시 덕진구 수곡길 33-50,전북청,화학보호복 3형식,EA,10,4,14,-
15-2,동전주영업소,-,전북특별자치도 전주시 덕진구 수곡길 33-50,전북청,전면형 방독면,EA,10,4,14,-
15-3,동전주영업소,-,전북특별자치도 전주시 덕진구 수곡길 33-50,전북청,방독면 필터,EA,10,4,14,-
15-4,동전주영업소,-,전북특별자치도 전주시 덕진구 수곡길 33-50,전북청,내화학장화,EA,10,4,14,-
15-5,동전주영업소,-,전북특별자치도 전주시 덕진구 수곡길 33-50,전북청,내화학장갑,EA,10,4,14,-
15-6,동전주영업소,-,전북특별자치도 전주시 덕진구 수곡길 33-50,전북청,화학물질 흡착포,BOX,3,3,6,-
15-7,동전주영업소,-,전북특별자치도 전주시 덕진구 수곡길 33-50,전북청,유류 흡착포,BOX,3,3,6,-
15-8,동전주영업소,-,전북특별자치도 전주시 덕진구 수곡길 33-50,전북청,모래주머니,EA,50,30,80,-
15-9,동전주영업소,-,전북특별자치도 전주시 덕진구 수곡길 33-50,전북청,플라스틱 빗자루,EA,3,4,7,-
15-10,동전주영업소,-,전북특별자치도 전주시 덕진구 수곡길 33-50,전북청,제설용 삽,EA,3,4,7,-
15-11,동전주영업소,-,전북특별자치도 전주시 덕진구 수곡길 33-50,전북청,삽,EA,3,4,7,-
15-12,동전주영업소,-,전북특별자치도 전주시 덕진구 수곡길 33-50,전북청,쓰레기통(대형),EA,3,2,5,-
15-13,동전주영업소,-,전북특별자치도 전주시 덕진구 수곡길 33-50,전북청,폐기물봉투,BOX,1,1,2,-
16-1,북남원영업소,-,전북특별자치도 남원시 대산면 순천완주고속도로 64,전북청,화학보호복 3형식,EA,10,4,14,-
16-2,북남원영업소,-,전북특별자치도 남원시 대산면 순천완주고속도로 64,전북청,전면형 방독면,EA,10,4,14,-
16-3,북남원영업소,-,전북특별자치도 남원시 대산면 순천완주고속도로 64,전북청,방독면 필터,EA,10,4,14,-
16-4,북남원영업소,-,전북특별자치도 남원시 대산면 순천완주고속도로 64,전북청,내화학장화,EA,10,4,14,-
16-5,북남원영업소,-,전북특별자치도 남원시 대산면 순천완주고속도로 64,전북청,내화학장갑,EA,10,4,14,-
16-6,북남원영업소,-,전북특별자치도 남원시 대산면 순천완주고속도로 64,전북청,화학물질 흡착포,BOX,3,3,6,-
16-7,북남원영업소,-,전북특별자치도 남원시 대산면 순천완주고속도로 64,전북청,유류 흡착포,BOX,3,3,6,-
16-8,북남원영업소,-,전북특별자치도 남원시 대산면 순천완주고속도로 64,전북청,모래주머니,EA,50,30,80,-
16-9,북남원영업소,-,전북특별자치도 남원시 대산면 순천완주고속도로 64,전북청,플라스틱 빗자루,EA,3,4,7,-
16-10,북남원영업소,-,전북특별자치도 남원시 대산면 순천완주고속도로 64,전북청,제설용 삽,EA,3,4,7,-
16-11,북남원영업소,-,전북특별자치도 남원시 대산면 순천완주고속도로 64,전북청,삽,EA,3,4,7,-
16-12,북남원영업소,-,전북특별자치도 남원시 대산면 순천완주고속도로 64,전북청,쓰레기통(대형),EA,3,2,5,-
16-13,북남원영업소,-,전북특별자치도 남원시 대산면 순천완주고속도로 64,전북청,폐기물봉투,BOX,1,1,2,-
17-1,한국도로공사 남원지사,-,전북특별자치도 남원시 충정로 265-19,전북청,화학보호복 3형식,EA,10,4,14,-
17-2,한국도로공사 남원지사,-,전북특별자치도 남원시 충정로 265-19,전북청,전면형 방독면,EA,10,4,14,-
17-3,한국도로공사 남원지사,-,전북특별자치도 남원시 충정로 265-19,전북청,방독면 필터,EA,10,4,14,-
17-4,한국도로공사 남원지사,-,전북특별자치도 남원시 충정로 265-19,전북청,내화학장화,EA,10,4,14,-
17-5,한국도로공사 남원지사,-,전북특별자치도 남원시 충정로 265-19,전북청,내화학장갑,EA,10,4,14,-
17-6,한국도로공사 남원지사,-,전북특별자치도 남원시 충정로 265-19,전북청,화학물질 흡착포,BOX,3,3,6,-
17-7,한국도로공사 남원지사,-,전북특별자치도 남원시 충정로 265-19,전북청,유류 흡착포,BOX,3,3,6,-
17-8,한국도로공사 남원지사,-,전북특별자치도 남원시 충정로 265-19,전북청,모래주머니,EA,50,30,80,-
17-9,한국도로공사 남원지사,-,전북특별자치도 남원시 충정로 265-19,전북청,플라스틱 빗자루,EA,3,4,7,-
17-10,한국도로공사 남원지사,-,전북특별자치도 남원시 충정로 265-19,전북청,제설용 삽,EA,3,4,7,-
17-11,한국도로공사 남원지사,-,전북특별자치도 남원시 충정로 265-19,전북청,삽,EA,3,4,7,-
17-12,한국도로공사 남원지사,-,전북특별자치도 남원시 충정로 265-19,전북청,쓰레기통(대형),EA,3,2,5,-
17-13,한국도로공사 남원지사,-,전북특별자치도 남원시 충정로 265-19,전북청,폐기물봉투,BOX,1,1,2,-
18-1,오수휴게소 완주방향(상),순천완주고속도로,전북특별자치도 임실군 오수면 순천완주고속도로 74,전북청,화학보호복 3형식,EA,10,4,14,-
18-2,오수휴게소 완주방향(상),순천완주고속도로,전북특별자치도 임실군 오수면 순천완주고속도로 74,전북청,전면형 방독면,EA,10,4,14,-
18-3,오수휴게소 완주방향(상),순천완주고속도로,전북특별자치도 임실군 오수면 순천완주고속도로 74,전북청,방독면 필터,EA,10,4,14,-
18-4,오수휴게소 완주방향(상),순천완주고속도로,전북특별자치도 임실군 오수면 순천완주고속도로 74,전북청,내화학장화,EA,10,4,14,-
18-5,오수휴게소 완주방향(상),순천완주고속도로,전북특별자치도 임실군 오수면 순천완주고속도로 74,전북청,내화학장갑,EA,10,4,14,-
18-6,오수휴게소 완주방향(상),순천완주고속도로,전북특별자치도 임실군 오수면 순천완주고속도로 74,전북청,화학물질 흡착포,BOX,3,3,6,-
18-7,오수휴게소 완주방향(상),순천완주고속도로,전북특별자치도 임실군 오수면 순천완주고속도로 74,전북청,유류 흡착포,BOX,3,3,6,-
18-8,오수휴게소 완주방향(상),순천완주고속도로,전북특별자치도 임실군 오수면 순천완주고속도로 74,전북청,모래주머니,EA,50,30,80,-
18-9,오수휴게소 완주방향(상),순천완주고속도로,전북특별자치도 임실군 오수면 순천완주고속도로 74,전북청,플라스틱 빗자루,EA,3,4,7,-
18-10,오수휴게소 완주방향(상),순천완주고속도로,전북특별자치도 임실군 오수면 순천완주고속도로 74,전북청,제설용 삽,EA,3,4,7,-
18-11,오수휴게소 완주방향(상),순천완주고속도로,전북특별자치도 임실군 오수면 순천완주고속도로 74,전북청,삽,EA,3,4,7,-
18-12,오수휴게소 완주방향(상),순천완주고속도로,전북특별자치도 임실군 오수면 순천완주고속도로 74,전북청,쓰레기통(대형),EA,3,2,5,-
18-13,오수휴게소 완주방향(상),순천완주고속도로,전북특별자치도 임실군 오수면 순천완주고속도로 74,전북청,폐기물봉투,BOX,1,1,2,-
19-1,춘향휴게소 순천방향(하),순천완주고속도로,전북특별자치도 남원시 수지면 순천완주고속도로 50,전북청,화학보호복 3형식,EA,10,4,14,-
19-2,춘향휴게소 순천방향(하),순천완주고속도로,전북특별자치도 남원시 수지면 순천완주고속도로 50,전북청,전면형 방독면,EA,10,4,14,-
19-3,춘향휴게소 순천방향(하),순천완주고속도로,전북특별자치도 남원시 수지면 순천완주고속도로 50,전북청,방독면 필터,EA,10,4,14,-
19-4,춘향휴게소 순천방향(하),순천완주고속도로,전북특별자치도 남원시 수지면 순천완주고속도로 50,전북청,내화학장화,EA,10,4,14,-
19-5,춘향휴게소 순천방향(하),순천완주고속도로,전북특별자치도 남원시 수지면 순천완주고속도로 50,전북청,내화학장갑,EA,10,4,14,-
19-6,춘향휴게소 순천방향(하),순천완주고속도로,전북특별자치도 남원시 수지면 순천완주고속도로 50,전북청,화학물질 흡착포,BOX,3,3,6,-
19-7,춘향휴게소 순천방향(하),순천완주고속도로,전북특별자치도 남원시 수지면 순천완주고속도로 50,전북청,유류 흡착포,BOX,3,3,6,-
19-8,춘향휴게소 순천방향(하),순천완주고속도로,전북특별자치도 남원시 수지면 순천완주고속도로 50,전북청,모래주머니,EA,50,30,80,-
19-9,춘향휴게소 순천방향(하),순천완주고속도로,전북특별자치도 남원시 수지면 순천완주고속도로 50,전북청,플라스틱 빗자루,EA,3,4,7,-
19-10,춘향휴게소 순천방향(하),순천완주고속도로,전북특별자치도 남원시 수지면 순천완주고속도로 50,전북청,제설용 삽,EA,3,4,7,-
19-11,춘향휴게소 순천방향(하),순천완주고속도로,전북특별자치도 남원시 수지면 순천완주고속도로 50,전북청,삽,EA,3,4,7,-
19-12,춘향휴게소 순천방향(하),순천완주고속도로,전북특별자치도 남원시 수지면 순천완주고속도로 50,전북청,쓰레기통(대형),EA,3,2,5,-
19-13,춘향휴게소 순천방향(하),순천완주고속도로,전북특별자치도 남원시 수지면 순천완주고속도로 50,전북청,폐기물봉투,BOX,1,1,2,-
17-1,진안 마이산휴게소 익산방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 41,전북청,화학보호복 3형식,EA,10,4,14,-
17-2,진안 마이산휴게소 익산방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 41,전북청,전면형 방독면,EA,10,4,14,-
17-3,진안 마이산휴게소 익산방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 41,전북청,방독면 필터,EA,10,4,14,-
17-4,진안 마이산휴게소 익산방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 41,전북청,내화학장화,EA,10,4,14,-
17-5,진안 마이산휴게소 익산방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 41,전북청,내화학장갑,EA,10,4,14,-
17-6,진안 마이산휴게소 익산방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 41,전북청,화학물질 흡착포,BOX,3,3,6,-
17-7,진안 마이산휴게소 익산방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 41,전북청,유류 흡착포,BOX,3,3,6,-
17-8,진안 마이산휴게소 익산방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 41,전북청,모래주머니,EA,50,30,80,-
17-9,진안 마이산휴게소 익산방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 41,전북청,플라스틱 빗자루,EA,3,4,7,-
17-10,진안 마이산휴게소 익산방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 41,전북청,제설용 삽,EA,3,4,7,-
17-11,진안 마이산휴게소 익산방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 41,전북청,삽,EA,3,4,7,-
17-12,진안 마이산휴게소 익산방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 41,전북청,쓰레기통(대형),EA,3,2,5,-
17-13,진안 마이산휴게소 익산방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 41,전북청,폐기물봉투,BOX,1,1,2,-
18-1,진안 마이산휴게소 장수방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 42,전북청,화학보호복 3형식,EA,10,4,14,-
18-2,진안 마이산휴게소 장수방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 42,전북청,전면형 방독면,EA,10,4,14,-
18-3,진안 마이산휴게소 장수방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 42,전북청,방독면 필터,EA,10,4,14,-
18-4,진안 마이산휴게소 장수방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 42,전북청,내화학장화,EA,10,4,14,-
18-5,진안 마이산휴게소 장수방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 42,전북청,내화학장갑,EA,10,4,14,-
18-6,진안 마이산휴게소 장수방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 42,전북청,화학물질 흡착포,BOX,3,3,6,-
18-7,진안 마이산휴게소 장수방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 42,전북청,유류 흡착포,BOX,3,3,6,-
18-8,진안 마이산휴게소 장수방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 42,전북청,모래주머니,EA,50,30,80,-
18-9,진안 마이산휴게소 장수방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 42,전북청,플라스틱 빗자루,EA,3,4,7,-
18-10,진안 마이산휴게소 장수방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 42,전북청,제설용 삽,EA,3,4,7,-
18-11,진안 마이산휴게소 장수방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 42,전북청,삽,EA,3,4,7,-
18-12,진안 마이산휴게소 장수방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 42,전북청,쓰레기통(대형),EA,3,2,5,-
18-13,진안 마이산휴게소 장수방향,익산장수고속도로,전북특별자치도 진안군 진안읍 익산장수고속도로 42,전북청,폐기물봉투,BOX,1,1,2,-
19-1,도레이첨단소재㈜ 군산공장 주차장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북청,화학보호복 3형식,개,-,-,5,-
19-2,도레이첨단소재㈜ 군산공장 주차장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북청,전면형 방독면,개,-,-,5,-
19-3,도레이첨단소재㈜ 군산공장 주차장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북청,방독면 필터,개,-,-,5,-
19-4,도레이첨단소재㈜ 군산공장 주차장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북청,내화학장화,개,-,-,5,-
19-5,도레이첨단소재㈜ 군산공장 주차장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북청,내화학장갑,개,-,-,5,-
19-6,도레이첨단소재㈜ 군산공장 주차장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북청,화학물질 흡착포(패드형),개,-,-,14,-
19-7,도레이첨단소재㈜ 군산공장 주차장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북청,모래주머니,개,-,-,30,-
19-8,도레이첨단소재㈜ 군산공장 주차장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북청,플라스틱 빗자루,개,-,-,4,-
19-9,도레이첨단소재㈜ 군산공장 주차장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북청,제설용 삽,개,-,-,4,-
19-10,도레이첨단소재㈜ 군산공장 주차장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북청,삽,개,-,-,4,-
19-11,도레이첨단소재㈜ 군산공장 주차장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북청,폐기물 회수통,개,-,-,2,-
19-12,도레이첨단소재㈜ 군산공장 주차장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북청,폐기물 봉투,개,-,-,1,-
20-1,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,오일펜스,개,-,-,1,-
20-2,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,유흡착제,개,-,-,16,-
20-3,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,유처리제,개,-,-,5,-
20-4,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,유처리제 살포기,개,-,-,2,-
20-5,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,케미칼미니붐,개,-,-,7,-
20-6,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,미니붐(유류),개,-,-,5,-
20-7,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,화학물질흡착제,개,-,-,8,-
20-8,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,방독마스크(반면형),개,-,-,8,-
20-9,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,방독마스크(전면형),개,-,-,7,-
20-10,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,정화통,개,-,-,8,-
20-11,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,정화통(전면형),개,-,-,15,-
20-12,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,pH페이퍼,개,-,-,3,-
20-13,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,화학복,개,-,-,9,-
20-14,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,가슴장화,개,-,-,5,-
20-15,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,내화학장갑,개,-,-,10,-
20-16,도레이첨단소재㈜ 군산공장,새만금산단,전북특별자치도 군산시 새만금북로 90,전북도청,내산장화,개,-,-,4,-
21-1,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,오일펜스,개,-,-,1,-
21-2,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,유흡착제,개,-,-,16,-
21-3,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,유처리제,개,-,-,5,-
21-4,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,유처리제 살포기,개,-,-,2,-
21-5,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,케미칼미니붐,개,-,-,7,-
21-6,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,미니붐(유류),개,-,-,5,-
21-7,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,화학물질흡착제,개,-,-,8,-
21-8,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,방독마스크(반면형),개,-,-,8,-
21-9,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,방독마스크(전면형),개,-,-,7,-
21-10,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,정화통,개,-,-,8,-
21-11,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,정화통(전면형),개,-,-,15,-
21-12,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,pH페이퍼,개,-,-,3,-
21-13,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,화학복,개,-,-,9,-
21-14,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,가슴장화,개,-,-,5,-
21-15,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,내화학장갑,개,-,-,10,-
21-16,119화학구조대(군산),군산일반산단,전북특별자치도 군산시 외항7길 7,군산시,내산장화,개,-,-,4,-
22-1,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,화학보호복 3형식,개,-,-,5,-
22-2,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,전면형 방독면,개,-,-,5,-
22-3,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,방독면 필터,개,-,-,5,-
22-4,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,내화학장화,개,-,-,5,-
22-5,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,내화학장갑,개,-,-,5,-
22-6,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,화학물질 흡착포(붐형),개,-,-,15,-
22-7,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,화학물질 흡착포(패드형),개,-,-,30,-
22-8,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,모래주머니,개,-,-,30,-
22-9,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,모래주머니포,개,-,-,10,-
22-10,어린이교통공원(군산1국가산단),군산1국가산단,전북특별자치도 군산시 동장산로 135,군산시,분말형 소화기,개,-,-,2,-
